,brand,model,price_in_pln,mileage,gearbox,engine_capacity,fuel_type,city,voivodeship,year
690,audi,Audi A4 1.9 TDI Quattro,9900.0,308 500 km,manual,1 896 cm3,Diesel,Skierniewice,Łódzkie,2004
691,audi,Audi A3 1.6 Ambition,14600.0,308 500 km,manual,1 896 cm3,Diesel,Buk,Małopolskie,2004
692,audi,Audi A4 Avant 1.8T,10500.0,260 918 km,manual,1 595 cm3,Benzyna,Stężyca,Pomorskie,2003
693,audi,Audi A6,7000.0,260 918 km,manual,1 595 cm3,Benzyna,Owińska,Wielkopolskie,2003
694,audi,Audi A4 Avant 2.0,19999.0,362 500 km,manual,1 781 cm3,Benzyna+LPG,Swarzędz,Wielkopolskie,2002
695,audi,Audi A6,9900.0,362 500 km,manual,1 781 cm3,Benzyna+LPG,Białystok,Podlaskie,2002
696,audi,Audi A4 Avant 1.9 TDI,12000.0,380 000 km,manual,1 892 cm3,Diesel,Wrocław,Dolnośląskie,2003
697,audi,Audi A3,9500.0,380 000 km,manual,1 892 cm3,Diesel,Kędzierzyn-Koźle,Opolskie,2003
698,audi,Audi A4 Avant 1.9 TDI,7500.0,205 184 km,manual,1 984 cm3,Benzyna,Limanowa,Małopolskie,2004
699,audi,Audi A4,27900.0,205 184 km,manual,1 984 cm3,Benzyna,Gostynin,Mazowieckie,2004
700,audi,Audi A6,14900.0,354 700 km,manual,1 984 cm3,Benzyna+LPG,Płock,Mazowieckie,2002
701,audi,Audi S3 1.8T Quattro,21500.0,354 700 km,manual,1 984 cm3,Benzyna+LPG,Trzebnica,Dolnośląskie,2002
702,audi,Audi A4 Avant 2.0,7900.0,298 000 km,manual,1 896 cm3,Diesel,Bolesławiec,Dolnośląskie,2001
703,audi,Audi A4 Avant 1.9 TDI,14900.0,298 000 km,manual,1 896 cm3,Diesel,Czarnków,Wielkopolskie,2001
704,audi,Audi A4 Avant 1.8T Quattro,19500.0,217 111 km,manual,1 984 cm3,Benzyna,Łysaków,Lubelskie,2003
705,audi,Audi A4 Cabriolet 1.8T,25900.0,217 111 km,manual,1 984 cm3,Benzyna,Gruszczyn,Mazowieckie,2003
706,audi,Audi A4,8000.0,386 000 km,manual,1 896 cm3,Diesel,Tychy,Śląskie,2003
707,audi,Audi A4 Avant 1.8T Quattro,13999.0,386 000 km,manual,1 896 cm3,Diesel,Strzelin,Dolnośląskie,2003
708,audi,Audi A4 Avant 1.9 TDI,12800.0,223 000 km,manual,1 781 cm3,Benzyna,Płońsk,Mazowieckie,2003
709,audi,Audi A6,14900.0,223 000 km,manual,1 781 cm3,Benzyna,Rokocin,Pomorskie,2003
710,audi,Audi A4 Avant 2.0,14900.0,207 414 km,manual,2 400 cm3,Benzyna,Poświętne,Mazowieckie,2003
711,audi,Audi TT Roadster 1.8T,14100.0,207 414 km,manual,2 400 cm3,Benzyna,Wrocław,Dolnośląskie,2003
712,audi,Audi A4 2.0,13999.0,341 000 km,manual,1 781 cm3,Benzyna,Zawiercie,Śląskie,2000
713,audi,Audi A3,27700.0,341 000 km,manual,1 781 cm3,Benzyna,Zwoleń,Mazowieckie,2000
714,audi,Audi A2 1.4,10999.0,349 000 km,manual,1 984 cm3,Benzyna,Elbląg,Warmińsko-mazurskie,2002
715,audi,Audi A4,11999.0,349 000 km,manual,1 984 cm3,Benzyna,Szlichtyngowa,Lubuskie,2002
716,audi,Audi A4 Avant 1.9 TDI,15900.0,259 300 km,manual,1 896 cm3,Diesel,Legnica,Dolnośląskie,2004
717,audi,Audi A4 Avant 1.9 TDI Quattro,17900.0,259 300 km,manual,1 896 cm3,Diesel,Legnica,Dolnośląskie,2004
718,audi,Audi A4 Avant 1.8T,15500.0,330 000 km,manual,1 781 cm3,Benzyna,Gniezno,Wielkopolskie,2001
719,audi,Audi A4 2.0,9800.0,330 000 km,manual,1 781 cm3,Benzyna,Lasocice,Opolskie,2001
720,audi,Audi A4 2.0,12900.0,193 000 km,manual,1 781 cm3,Benzyna,Leszno,Wielkopolskie,2004
721,audi,Audi TT Coupe 1.8T,14900.0,193 000 km,manual,1 781 cm3,Benzyna,Wrocław,Dolnośląskie,2004
722,audi,Audi TT Coupe 1.8T Quattro,6000.0,242 000 km,manual,1 781 cm3,Benzyna+LPG,Warszawa,Mazowieckie,1999
723,audi,Audi A4 Avant 1.8T,6900.0,242 000 km,manual,1 781 cm3,Benzyna+LPG,Leszno,Wielkopolskie,1999
724,audi,Audi A6,11000.0,325 100 km,manual,1 781 cm3,Benzyna,Cieszyn,Śląskie,1999
725,audi,Audi A4 Avant 1.6,9000.0,325 100 km,manual,1 781 cm3,Benzyna,Turze Pole,Podkarpackie,1999
726,audi,Audi A6,18000.0,421 000 km,manual,2 461 cm3,Diesel,Lubliniec,Śląskie,1995
727,audi,Audi A3,8300.0,421 000 km,manual,2 461 cm3,Diesel,Skała,Małopolskie,1995
728,audi,Audi A4 Avant 1.9 TDI,8200.0,240 000 km,manual,1 595 cm3,Benzyna,Gilowice,Śląskie,1999
729,audi,Audi TT,18000.0,240 000 km,manual,1 595 cm3,Benzyna,Gdańsk,Pomorskie,1999
730,audi,Audi A4 1.9 TDI,8500.0,276 500 km,manual,2 771 cm3,Benzyna+LPG,Zgorzelec,Dolnośląskie,1995
731,audi,Audi A6,7000.0,276 500 km,manual,2 771 cm3,Benzyna+LPG,Lublin,Lubelskie,1995
732,audi,Audi S4 Avant 2.7 Quattro,35900.0,290 000 km,manual,1 798 cm3,Benzyna,Płoty,Zachodniopomorskie,1999
733,audi,Audi A4 Avant 2.5 TDI,9900.0,290 000 km,manual,1 798 cm3,Benzyna,Sulechów,Lubuskie,1999
734,audi,Audi A4 Avant 1.6,3300.0,279 000 km,manual,1 896 cm3,Diesel,Ozorków,Łódzkie,1999
735,audi,Audi TT Coupe 1.8T,11999.0,279 000 km,manual,1 896 cm3,Diesel,Koszalin,Zachodniopomorskie,1999
736,audi,Audi A3,2150.0,234 000 km,manual,1 781 cm3,Benzyna,Gubin,Lubuskie,1998
737,audi,Audi A6,22500.0,234 000 km,manual,1 781 cm3,Benzyna,Tczew,Pomorskie,1998
738,audi,Audi Cabriolet 2.0,16500.0,290 000 km,manual,1 896 cm3,Diesel,Rudno,Lubuskie,1999
739,audi,Audi TT,11900.0,290 000 km,manual,1 896 cm3,Diesel,Lubogoszcz,Lubuskie,1999
740,audi,Audi A6,8600.0,352 000 km,manual,2 498 cm3,Diesel,Kielce,Świętokrzyskie,1998
741,audi,Audi TT Coupe 1.8T,19300.0,352 000 km,manual,2 498 cm3,Diesel,Racibórz,Śląskie,1998
742,audi,Audi S4 Avant 2.7 Quattro,42900.0,222 000 km,manual,2 671 cm3,Benzyna,Sosnowiec,Śląskie,1999
743,audi,Audi A4 Avant 1.9 TDI,9999.0,222 000 km,manual,2 671 cm3,Benzyna,Katowice,Śląskie,1999
744,audi,Audi A4 2.4,4900.0,251 000 km,manual,2 496 cm3,Diesel,Warszawa,Mazowieckie,1999
745,audi,Audi A3,3900.0,251 000 km,manual,2 496 cm3,Diesel,Warszawa,Mazowieckie,1999
746,audi,Audi A6,12990.0,377 000 km,manual,1 595 cm3,Benzyna+LPG,Katowice,Śląskie,1996
747,audi,Audi A3,5900.0,377 000 km,manual,1 595 cm3,Benzyna+LPG,Świebodzin,Lubuskie,1996
748,audi,Audi A3,5900.0,288 000 km,manual,1 781 cm3,Benzyna,Starachowice,Świętokrzyskie,1999
749,audi,Audi A4 1.6,5300.0,288 000 km,manual,1 781 cm3,Benzyna,Ostrów Wielkopolski,Wielkopolskie,1999
750,audi,Audi A4 1.9 TDI,4717.0,248 000 km,manual,1 600 cm3,Benzyna,Rybna,Małopolskie,1997
751,audi,Audi A4 Avant 1.8,4700.0,248 000 km,manual,1 600 cm3,Benzyna,Pobiedziska,Wielkopolskie,1997
752,audi,Audi A6,4500.0,174 500 km,manual,2 598 cm3,Benzyna,Bogatynia,Dolnośląskie,1996
753,audi,Audi A4 1.9 TDI,6900.0,174 500 km,manual,2 598 cm3,Benzyna,Trzebnica,Dolnośląskie,1996
754,audi,Audi A6 Avant 2.0 TDI Ultra,74900.0,215 000 km,manual,1 968 cm3,Diesel,Nysa,Opolskie,2016
755,audi,Audi A3 1.6 TDI,35900.0,215 000 km,manual,1 968 cm3,Diesel,Chodzież,Wielkopolskie,2016
756,audi,Audi A4 2.0 TDI Sport,69999.0,219 000 km,manual,1 598 cm3,Diesel,Płock,Mazowieckie,2016
757,audi,Audi A4,78900.0,219 000 km,manual,1 598 cm3,Diesel,Węgierska Górka,Śląskie,2016
758,audi,Audi A6 2.0 TDI ultra,99000.0,169 000 km,manual,1 968 cm3,Diesel,Wojaszówka,Podkarpackie,2016
759,audi,Audi A6 2.0 TDI ultra,87000.0,169 000 km,manual,1 968 cm3,Diesel,Bartoszyce,Warmińsko-mazurskie,2016
760,audi,Audi A3,58800.0,236 500 km,manual,1 968 cm3,Diesel,Mirsk,Dolnośląskie,2016
761,audi,Audi A3 1.6 TDI,75500.0,236 500 km,manual,1 968 cm3,Diesel,Elbląg,Warmińsko-mazurskie,2016
762,audi,Audi A4 2.0 TDI,64500.0,135 000 km,manual,1 968 cm3,Diesel,Cedry Małe,Pomorskie,2016
763,audi,Audi A3,78800.0,135 000 km,manual,1 968 cm3,Diesel,Częstochowa,Śląskie,2016
764,audi,Audi A4,115000.0,137 320 km,manual,1 968 cm3,Diesel,Bielsko-Biała,Śląskie,2015
765,audi,Audi A3 1.6 TDI,58900.0,137 320 km,manual,1 968 cm3,Diesel,Białośliwie,Wielkopolskie,2015
766,audi,Audi A3 1.6 TDI clean diesel Attraction,68350.0,97 980 km,manual,1 598 cm3,Diesel,Józefosław,Mazowieckie,2019
767,audi,Audi A3,40900.0,97 980 km,manual,1 598 cm3,Diesel,Zebrzydowice,Śląskie,2019
768,audi,Audi A3 1.6 TDI clean diesel Ambition,61900.0,89 778 km,manual,1 598 cm3,Diesel,Reda,Pomorskie,2017
