,brand,model,price_in_pln,mileage,gearbox,engine_capacity,fuel_type,city,voivodeship,year
1205,bentley,Bentley Arnage,60000.0,154 284 km,automatic,4 398 cm3,Benzyna,Lubartów,Lubelskie,1999
1206,bentley,Bentley Arnage,60000.0,154 284 km,automatic,4 398 cm3,Benzyna,Lubartów,Lubelskie,1999
1207,bentley,Bentley Continental GT Standard,219000.0,68 944 km,automatic,5 998 cm3,Benzyna,Płońsk,Mazowieckie,2005
1208,bentley,Bentley Continental GT,199000.0,68 944 km,automatic,5 998 cm3,Benzyna,Żory,Śląskie,2005
1209,bentley,Bentley Continental Flying Spur Standard,189900.0,95 000 km,automatic,5 998 cm3,Benzyna,Poznań,Wielkopolskie,2006
1210,bentley,Bentley Continental GT Standard,165432.0,95 000 km,automatic,5 998 cm3,Benzyna,Warszawa,Mazowieckie,2006
1211,bentley,Bentley Continental GT Speed,179900.0,113 700 km,automatic,5 998 cm3,Benzyna,Warszawa,Mazowieckie,2008
1212,bentley,Bentley Continental Flying Spur Standard,145000.0,113 700 km,automatic,5 998 cm3,Benzyna,Skarżysko-Kamienna,Świętokrzyskie,2008
1213,bentley,Bentley Continental GT Standard,244900.0,122 000 km,automatic,5 998 cm3,Benzyna,Włocławek,Kujawsko-pomorskie,2005
1214,bentley,Bentley Continental GT,335000.0,122 000 km,automatic,5 998 cm3,Benzyna,Bielsko-Biała,Śląskie,2005
1215,bentley,Bentley Continental GT Speed,249900.0,156 663 km,automatic,5 998 cm3,Benzyna,Warszawa,Mazowieckie,2008
1216,bentley,Bentley Continental GT Standard,255600.0,156 663 km,automatic,5 998 cm3,Benzyna,Gdańsk,Pomorskie,2008
1217,bentley,Bentley Continental GT Standard,179900.0,170 000 km,automatic,5 998 cm3,Benzyna,Warszawa,Mazowieckie,2006
1218,bentley,Bentley Continental GT,219000.0,170 000 km,automatic,5 998 cm3,Benzyna,Łódź,Łódzkie,2006
1219,bentley,Bentley Continental GT Speed,199999.0,125 000 km,automatic,5 998 cm3,Benzyna,Wasilków,Podlaskie,2006
1220,bentley,Bentley Continental GT Standard,269000.0,125 000 km,automatic,5 998 cm3,Benzyna,Warszawa,Mazowieckie,2006
1221,bentley,Bentley Continental GT Convertible,199000.0,95 000 km,automatic,5 998 cm3,Benzyna,Kąty Wrocławskie,Dolnośląskie,2007
1222,bentley,Bentley Continental Flying Spur Standard,89000.0,95 000 km,automatic,5 998 cm3,Benzyna,Pruszcz Gdański,Pomorskie,2007
1223,bentley,Bentley Continental GT,299000.0,116 000 km,automatic,5 998 cm3,Benzyna,Kępno,Wielkopolskie,2010
1224,bentley,Bentley Continental GT W12,344400.0,116 000 km,automatic,5 998 cm3,Benzyna,Łódź,Łódzkie,2010
1225,bentley,Bentley Continental Flying Spur W12,449000.0,123 000 km,automatic,5 998 cm3,Benzyna,Baranowo,Wielkopolskie,2011
1226,bentley,Bentley Mulsanne Standard,549900.0,123 000 km,automatic,5 998 cm3,Benzyna,Ruda Śląska,Śląskie,2011
1227,bentley,Bentley Continental GT V8,249900.0,14 500 km,automatic,5 998 cm3,Benzyna,Warszawa,Mazowieckie,2013
1228,bentley,Bentley Continental Flying Spur W12,649000.0,14 500 km,automatic,5 998 cm3,Benzyna,Kraków,Małopolskie,2013
1229,bentley,Bentley Continental Flying Spur W12,395000.0,74 520 km,automatic,6 752 cm3,Benzyna,Raciąż,Mazowieckie,2012
1230,bentley,Bentley Continental Flying Spur Speed,222000.0,74 520 km,automatic,6 752 cm3,Benzyna,Wyszków,Mazowieckie,2012
1231,bentley,Bentley Continental Flying Spur W12,389900.0,167 800 km,automatic,3 993 cm3,Benzyna,Warszawa,Mazowieckie,2013
1232,bentley,Bentley Continental Flying Spur V8,359000.0,167 800 km,automatic,3 993 cm3,Benzyna,Włocławek,Kujawsko-pomorskie,2013
1233,bentley,Bentley Continental Flying Spur W12,395000.0,35 000 km,automatic,5 998 cm3,Benzyna,Warszawa,Mazowieckie,2014
1234,bentley,Bentley Continental GT W12,299000.0,35 000 km,automatic,5 998 cm3,Benzyna,Baranowo,Wielkopolskie,2014
1235,bentley,Bentley Continental GT Speed,320000.0,29 201 km,automatic,5 998 cm3,Benzyna,Warszawa,Mazowieckie,2013
1236,bentley,Bentley Continental GT W12,389000.0,29 201 km,automatic,5 998 cm3,Benzyna,Baranowo,Wielkopolskie,2013
1237,bentley,Bentley Continental Flying Spur GTC W12,409000.0,106 000 km,automatic,5 998 cm3,Benzyna,Straszyn,Pomorskie,2011
1238,bentley,Bentley Continental GT V8,349900.0,106 000 km,automatic,5 998 cm3,Benzyna,Gniezno,Wielkopolskie,2011
