,brand,model,price_in_pln,mileage,gearbox,engine_capacity,fuel_type,city,voivodeship,year
1300,bmw,BMW Seria 5 528i,18400.0,369 763 km,manual,2 494 cm3,Benzyna+LPG,Piła,Wielkopolskie,1996
1301,bmw,BMW Seria 3 328Ci,34900.0,369 763 km,manual,2 494 cm3,Benzyna+LPG,Swarzędz,Wielkopolskie,1996
1302,bmw,BMW Seria 5 520i,14350.0,289 000 km,manual,2 793 cm3,Benzyna,Brzesko,Małopolskie,1999
1303,bmw,BMW Seria 3 316i,16800.0,289 000 km,manual,2 793 cm3,Benzyna,Ostrów Wielkopolski,Wielkopolskie,1999
1304,bmw,BMW M3,107000.0,252 687 km,manual,1 991 cm3,Benzyna,Białystok,Podlaskie,1999
1305,bmw,BMW Seria 5 528i,13500.0,252 687 km,manual,1 991 cm3,Benzyna,Grodzisk Mazowiecki,Mazowieckie,1999
1306,bmw,BMW Seria 3 320i,12900.0,114 492 km,manual,1 895 cm3,Benzyna,Słupca,Wielkopolskie,1999
1307,bmw,BMW Seria 3 316ti,14900.0,114 492 km,manual,1 895 cm3,Benzyna,Zagórów,Wielkopolskie,1999
1308,bmw,BMW Seria 3 328i,17999.0,187 600 km,manual,2 990 cm3,Benzyna,Nasielsk,Mazowieckie,1995
1309,bmw,BMW Z3 2.8,69000.0,187 600 km,manual,2 990 cm3,Benzyna,Białystok,Podlaskie,1995
1310,bmw,BMW Seria 5 523i,13300.0,356 086 km,manual,2 793 cm3,Benzyna+LPG,Kraków,Małopolskie,1997
1311,bmw,BMW Seria 3,27000.0,356 086 km,manual,2 793 cm3,Benzyna+LPG,Łask,Łódzkie,1997
1312,bmw,BMW Seria 3 323i,44900.0,270 000 km,manual,1 990 cm3,Benzyna,Warszawa,Mazowieckie,1997
1313,bmw,BMW M3 Standard,114999.0,270 000 km,manual,1 990 cm3,Benzyna,Stary Dzierzgoń,Pomorskie,1997
1314,bmw,BMW Seria 3 318i,6900.0,240 000 km,manual,1 796 cm3,Benzyna,Łódź,Łódzkie,1997
1315,bmw,BMW Seria 5 525tds,4200.0,240 000 km,manual,1 796 cm3,Benzyna,Haczów,Podkarpackie,1997
1316,bmw,BMW Seria 5,9000.0,289 000 km,manual,2 793 cm3,Benzyna,Poznań,Wielkopolskie,1999
1317,bmw,BMW Seria 3 320i,13500.0,289 000 km,manual,2 793 cm3,Benzyna,Radomsko,Łódzkie,1999
1318,bmw,BMW Seria 3 320i,3999.0,133 000 km,manual,2 793 cm3,Benzyna,Ustroń,Śląskie,1998
1319,bmw,BMW Z3 M,79000.0,133 000 km,manual,2 793 cm3,Benzyna,Zielona Góra,Lubuskie,1998
1320,bmw,BMW Seria 3 320d,4900.0,270 000 km,manual,2 494 cm3,Benzyna,Radłów,Małopolskie,1998
1321,bmw,BMW Seria 5 525tds,12900.0,270 000 km,manual,2 494 cm3,Benzyna,Łódź,Łódzkie,1998
1322,bmw,BMW Seria 5 520d Touring,18900.0,218 000 km,manual,1 995 cm3,Diesel,Wrocław,Dolnośląskie,2008
1323,bmw,BMW Seria 1 120d DPF,21000.0,218 000 km,manual,1 995 cm3,Diesel,Złotniki Kujawskie,Kujawsko-pomorskie,2008
1324,bmw,BMW Seria 3 318d Touring,21000.0,331 925 km,manual,1 995 cm3,Diesel,Łobez,Zachodniopomorskie,2008
