,brand,model,price_in_pln,mileage,gearbox,engine_capacity,fuel_type,city,voivodeship,year
9135,cadillac,Cadillac BLS 2.0T Elegance,15900.0,307 000 km,manual,1 998 cm3,Benzyna,Strzyżew,Mazowieckie,2009
9136,cadillac,Cadillac BLS 2.0T Elegance,15900.0,307 000 km,manual,1 998 cm3,Benzyna,Strzyżew,Mazowieckie,2009
9137,cadillac,Cadillac BLS 2.0T Elegance,18000.0,202 021 km,manual,1 998 cm3,Benzyna+LPG,Radom,Mazowieckie,2010
9138,cadillac,Cadillac BLS 2.0T Elegance,18000.0,202 021 km,manual,1 998 cm3,Benzyna+LPG,Radom,Mazowieckie,2010
9139,cadillac,Cadillac BLS 2.0T Elegance,18000.0,202 021 km,manual,1 998 cm3,Benzyna+LPG,Radom,Mazowieckie,2010
9140,cadillac,Cadillac SRX 3.6 V6 Elegance AWD,13500.0,149 000 km,automatic,3 564 cm3,Benzyna,Szczecin,Zachodniopomorskie,2004
9141,cadillac,Cadillac Escalade 6.0 V8 AWD,37999.0,149 000 km,automatic,3 564 cm3,Benzyna,Wrocław,Dolnośląskie,2004
9142,cadillac,Cadillac Eldorado 4.6 ESC,14900.0,376 000 km,automatic,5 967 cm3,Benzyna+LPG,Turek,Wielkopolskie,2004
9143,cadillac,Cadillac Deville 4.6 STD,29900.0,376 000 km,automatic,5 967 cm3,Benzyna+LPG,Chełm,Lubelskie,2004
9144,cadillac,Cadillac SRX,15500.0,116 433 km,automatic,4 572 cm3,Benzyna,Lejno,Lubelskie,2001
9145,cadillac,Cadillac Deville,9999.0,116 433 km,automatic,4 572 cm3,Benzyna,Poznań,Wielkopolskie,2001
9146,cadillac,Cadillac XTS,59900.0,123 000 km,automatic,3 564 cm3,Benzyna,Aleksandrów Łódzki,Łódzkie,2013
9147,cadillac,Cadillac ATS,45800.0,123 000 km,automatic,3 564 cm3,Benzyna,Szubin,Kujawsko-pomorskie,2013
9148,cadillac,Cadillac SRX 3.6 V6 Sport Luxury AWD,52900.0,51 555 km,automatic,2 500 cm3,Benzyna,Zwoleń,Mazowieckie,2013
9149,cadillac,Cadillac DTS,43500.0,51 555 km,automatic,2 500 cm3,Benzyna,Tomaszów Lubelski,Lubelskie,2013
9150,cadillac,Cadillac CTS 2.0T AWD AT8 Luxury,99000.0,170 123 km,automatic,3 000 cm3,Benzyna,Szówsko,Podkarpackie,2011
9151,cadillac,Cadillac Escalade,75900.0,170 123 km,automatic,3 000 cm3,Benzyna,Tomaszów Mazowiecki,Łódzkie,2011
9152,cadillac,Cadillac CTS,69900.0,106 000 km,automatic,4 565 cm3,Benzyna,Warszawa,Mazowieckie,2010
9153,cadillac,Cadillac Escalade 6.2 V8 Elegance,50000.0,106 000 km,automatic,4 565 cm3,Benzyna,Bydgoszcz,Kujawsko-pomorskie,2010
9154,cadillac,Cadillac SRX,59900.0,97 000 km,automatic,1 998 cm3,Benzyna,Michałów-Reginów,Mazowieckie,2014
9155,cadillac,Cadillac Escalade 6.2 V8 Sport Luxury,54500.0,97 000 km,automatic,1 998 cm3,Benzyna,Sokołów Podlaski,Mazowieckie,2014
9156,cadillac,Cadillac CTS,32000.0,75 800 km,automatic,5 967 cm3,Hybryda,Kraków,Małopolskie,2014
9157,cadillac,Cadillac Escalade 6.2 V8 Elegance,69900.0,235 000 km,automatic,6 199 cm3,Benzyna,Zawiercie,Śląskie,2008
9158,cadillac,Cadillac STS,24900.0,235 000 km,automatic,6 199 cm3,Benzyna,Wielebnów Zasłońce,Świętokrzyskie,2008
9159,cadillac,Cadillac SRX 4.6 V8 Sport Luxury AWD,24000.0,204 000 km,automatic,3 564 cm3,Benzyna+LPG,Lubaczów,Podkarpackie,2005
9160,cadillac,Cadillac CTS 3.6 V6 Sport Wagon AWD Sport Luxury,53000.0,204 000 km,automatic,3 564 cm3,Benzyna+LPG,Krapkowice,Opolskie,2005
9161,cadillac,Cadillac Escalade 6.2 V8 Elegance,60000.0,185 000 km,automatic,4 565 cm3,Benzyna+LPG,Częstochowa,Śląskie,2008
9162,cadillac,Cadillac CTS,27900.0,185 000 km,automatic,4 565 cm3,Benzyna+LPG,Bydgoszcz,Kujawsko-pomorskie,2008
9163,cadillac,Cadillac Escalade 6.2 V8 Elegance,77900.0,96 025 km,automatic,3 564 cm3,Benzyna,Koszalin,Zachodniopomorskie,2008
