,brand,model,price_in_pln,mileage,gearbox,engine_capacity,fuel_type,city,voivodeship,year
11774,fiat,Fiat Barchetta 1.8 16V,13999.0,222 000 km,manual,1 747 cm3,Benzyna,Gołańcz,Wielkopolskie,1998
11775,fiat,Fiat 126 650 Elegant,19800.0,222 000 km,manual,1 747 cm3,Benzyna,Mysłów,Śląskie,1998
11776,fiat,Fiat Barchetta 1.8 16V,14500.0,54 740 km,manual,652 cm3,Benzyna,Koszalin,Zachodniopomorskie,1995
11777,fiat,Fiat 126 elx Maluch sx,29900.0,54 740 km,manual,652 cm3,Benzyna,Żory,Śląskie,1995
11778,fiat,Fiat Punto 75 ELX,7900.0,218 723 km,manual,1 747 cm3,Benzyna,Rzeszów,Podkarpackie,1996
11779,fiat,Fiat 126,16000.0,218 723 km,manual,1 747 cm3,Benzyna,Warszawa,Mazowieckie,1996
11780,fiat,Fiat 126 650 Elegant,15000.0,54 000 km,manual,652 cm3,Benzyna,Kraków,Małopolskie,1997
11781,fiat,Fiat Barchetta 1.8 16V,14999.0,54 000 km,manual,652 cm3,Benzyna,Drezdenko,Lubuskie,1997
11782,fiat,Fiat 126 650 Elegant,9999.0,106 000 km,manual,1 242 cm3,Benzyna,Katowice,Śląskie,1995
11783,fiat,Fiat Barchetta 1.8 16V,26500.0,106 000 km,manual,1 242 cm3,Benzyna,Warszawa,Mazowieckie,1995
11784,fiat,Fiat Cinquecento 704 ED,3900.0,62 745 km,manual,652 cm3,Benzyna,Poznań,Wielkopolskie,1998
11785,fiat,Fiat Seicento S,2200.0,62 745 km,manual,652 cm3,Benzyna,Radostowice,Śląskie,1998
11786,fiat,Fiat 126 elx Maluch sx,36500.0,20 100 km,manual,652 cm3,Benzyna,Nieporęt,Mazowieckie,1998
11787,fiat,Fiat Siena 1.6 16V HL,2499.0,20 100 km,manual,652 cm3,Benzyna,Kraków,Małopolskie,1998
11788,fiat,Fiat 126 650 Elegant,14900.0,164 011 km,manual,1 747 cm3,Benzyna,Kopki,Podkarpackie,1998
11789,fiat,Fiat Barchetta 1.8 16V,18900.0,164 011 km,manual,1 747 cm3,Benzyna,Poznań,Wielkopolskie,1998
11790,fiat,Fiat Tipo,5000.0,112 000 km,manual,652 cm3,Benzyna,Kraków,Małopolskie,1999
11791,fiat,Fiat 126,15000.0,112 000 km,manual,652 cm3,Benzyna,Pabianice,Łódzkie,1999
11792,fiat,Fiat Barchetta 1.8 16V,18900.0,125 000 km,manual,1 747 cm3,Benzyna,Mława,Mazowieckie,1999
11793,fiat,Fiat Cinquecento,3800.0,125 000 km,manual,1 747 cm3,Benzyna,Skoczów,Śląskie,1999
11794,fiat,Fiat Barchetta 1.8 16V,17490.0,58 386 km,manual,704 cm3,Benzyna,Rybnik,Śląskie,1998
11795,fiat,Fiat Seicento Young,2800.0,58 386 km,manual,704 cm3,Benzyna,Gorzanów,Dolnośląskie,1998
11796,fiat,Fiat Cinquecento Sporting,10900.0,139 000 km,manual,899 cm3,Benzyna,Poręba,Śląskie,1999
11797,fiat,Fiat Cinquecento 704 ED,6000.0,139 000 km,manual,899 cm3,Benzyna,Żyrardów,Mazowieckie,1999
11798,fiat,Fiat Punto 75 SX,2500.0,16 800 km,manual,652 cm3,Benzyna,Kielce,Świętokrzyskie,1999
11799,fiat,Fiat Barchetta 1.8 16V,19900.0,16 800 km,manual,652 cm3,Benzyna,Węgry,Opolskie,1999
11800,fiat,Fiat Barchetta 1.8 16V,11900.0,134 000 km,manual,1 580 cm3,Benzyna,Besko,Podkarpackie,1998
11801,fiat,Fiat 126 650 Elegant,17000.0,134 000 km,manual,1 580 cm3,Benzyna,Dobrcz,Kujawsko-pomorskie,1998
11802,fiat,Fiat Bravo 100 16V GT,5100.0,60 000 km,manual,652 cm3,Benzyna,Konin,Wielkopolskie,1998
11803,fiat,Fiat Punto 55 SX,3000.0,60 000 km,manual,652 cm3,Benzyna,Tomaszów Mazowiecki,Łódzkie,1998
11804,fiat,Fiat Marea 100 16V SX,8250.0,197 800 km,manual,1 747 cm3,Benzyna,Warszawa,Mazowieckie,1995
11805,fiat,Fiat 126 650 Elegant,14000.0,197 800 km,manual,1 747 cm3,Benzyna,Jastrzębie-Zdrój,Śląskie,1995
11806,fiat,Fiat Seicento Young,4500.0,197 925 km,manual,899 cm3,Benzyna,Żerniki Wrocławskie,Dolnośląskie,2000
11807,fiat,Fiat Panda,3500.0,197 925 km,manual,899 cm3,Benzyna,Mściszewice,Pomorskie,2000
11808,fiat,Fiat Panda,8900.0,167 000 km,manual,1 108 cm3,Benzyna,Garwolin,Mazowieckie,2003
11809,fiat,Fiat Panda 1.1 Active Alaska,5000.0,167 000 km,manual,1 108 cm3,Benzyna,Sułoszowa I,Małopolskie,2003
11810,fiat,Fiat Seicento S,4000.0,126 800 km,manual,1 108 cm3,Benzyna,Oborniki,Wielkopolskie,2004
11811,fiat,Fiat Punto,6000.0,126 800 km,manual,1 108 cm3,Benzyna,Bielany Wrocławskie,Dolnośląskie,2004
11812,fiat,Fiat Panda 1.1 Active Alaska,5900.0,131 946 km,manual,1 108 cm3,Benzyna,Kartuzy,Pomorskie,2004
11813,fiat,Fiat Seicento Fun / Olimpia,2600.0,131 946 km,manual,1 108 cm3,Benzyna,Przasnysz,Mazowieckie,2004
11814,fiat,Fiat Punto,3200.0,284 988 km,manual,1 108 cm3,Benzyna,Wrocław,Dolnośląskie,2000
11815,fiat,Fiat Seicento Young,1800.0,284 988 km,manual,1 108 cm3,Benzyna,Kraków,Małopolskie,2000
11816,fiat,Fiat Punto,3200.0,117 528 km,manual,1 242 cm3,Benzyna,Bydlin,Małopolskie,2002
11817,fiat,Fiat Punto,2700.0,117 528 km,manual,1 242 cm3,Benzyna,Katowice,Śląskie,2002
11818,fiat,Fiat Punto 1.2 8V,2500.0,260 640 km,manual,1 108 cm3,Benzyna+LPG,Sosnowiec,Śląskie,2004
11819,fiat,Fiat Seicento,2400.0,260 640 km,manual,1 108 cm3,Benzyna+LPG,Warszawa,Mazowieckie,2004
11820,fiat,Fiat Punto 1.2 8V Actual,3699.0,66 000 km,manual,899 cm3,Benzyna,Białystok,Podlaskie,2000
11821,fiat,Fiat Albea 1.6 16V Active / HL,2699.0,66 000 km,manual,899 cm3,Benzyna,Białystok,Podlaskie,2000
11822,fiat,Fiat Panda,7900.0,247 000 km,manual,1 248 cm3,Diesel,Bolęcin,Małopolskie,2004
11823,fiat,Fiat Stilo 1.2 16V Active,3999.0,247 000 km,manual,1 248 cm3,Diesel,Złoty Stok,Dolnośląskie,2004
11824,fiat,Fiat Uno,1600.0,120 000 km,manual,899 cm3,Benzyna,Poznań,Wielkopolskie,2002
11825,fiat,Fiat Stilo,3900.0,120 000 km,manual,899 cm3,Benzyna,Gorzów Wielkopolski,Lubuskie,2002
11826,fiat,Fiat Seicento,3500.0,130 000 km,manual,1 242 cm3,Benzyna,Konstantynów Łódzki,Łódzkie,2001
11827,fiat,Fiat Doblo 1.6 16v Active / ELX,12500.0,130 000 km,manual,1 242 cm3,Benzyna,Łódź,Łódzkie,2001
11828,fiat,Fiat Seicento Fun / Olimpia,3200.0,181 000 km,manual,1 248 cm3,Diesel,Cieszyn,Śląskie,2004
11829,fiat,Fiat Stilo 1.9 JTD 115 Dynamic,3999.0,181 000 km,manual,1 248 cm3,Diesel,Złoty Stok,Dolnośląskie,2004
11830,fiat,Fiat Stilo 1.8 16V Dynamic,4999.0,182 000 km,manual,1 242 cm3,Benzyna,Krajno Drugie,Świętokrzyskie,2003
11831,fiat,Fiat Punto,2900.0,182 000 km,manual,1 242 cm3,Benzyna,Warszawa,Mazowieckie,2003
11832,fiat,Fiat Stilo,1900.0,114 000 km,manual,899 cm3,Benzyna,Wrocław,Dolnośląskie,2000
