,brand,model,price_in_pln,mileage,gearbox,engine_capacity,fuel_type,city,voivodeship,year
12347,ford,Ford Transit,69000.0,121 000 km,manual,2 496 cm3,Diesel,Ustka,Pomorskie,1996
12348,ford,Ford Focus 2.0 Trend,6700.0,121 000 km,manual,2 496 cm3,Diesel,Olsztyn,Warmińsko-mazurskie,1996
12349,ford,Ford Galaxy 1.9 TDI,3000.0,133 000 km,manual,1 988 cm3,Benzyna,Wojnowo,Wielkopolskie,1998
12350,ford,Ford Fiesta 1.3 Family,2500.0,133 000 km,manual,1 988 cm3,Benzyna,Łódź,Łódzkie,1998
12351,ford,Ford Mondeo,11500.0,381 560 km,manual,1 896 cm3,Diesel,Poręba,Śląskie,1999
12352,ford,Ford Fiesta,2500.0,381 560 km,manual,1 896 cm3,Diesel,Ożarów Mazowiecki,Mazowieckie,1999
12353,ford,Ford Focus 1.6 Trend,3500.0,99 000 km,manual,1 299 cm3,Benzyna,Kołobrzeg,Zachodniopomorskie,1998
12354,ford,Ford Focus 2.0 Trend,3700.0,99 000 km,manual,1 299 cm3,Benzyna,Pszczyna,Śląskie,1998
12355,ford,Ford Escort 1.3 CL,10000.0,89 000 km,manual,1 796 cm3,Benzyna,Sławno,Zachodniopomorskie,1998
12356,ford,Ford Focus 1.6 Ambiente,3800.0,89 000 km,manual,1 796 cm3,Benzyna,Jarocin,Wielkopolskie,1998
12357,ford,Ford KA 1.3,2299.0,98 000 km,manual,1 388 cm3,Benzyna,Solec Kujawski,Kujawsko-pomorskie,1996
12358,ford,Ford Focus 1.8 Trend,2900.0,98 000 km,manual,1 388 cm3,Benzyna,Ostrów Wielkopolski,Wielkopolskie,1996
12359,ford,Ford Escort 1.6 Bolero,2700.0,182 000 km,manual,1 596 cm3,Benzyna,Mława,Mazowieckie,1999
12360,ford,Ford Mondeo,5000.0,182 000 km,manual,1 596 cm3,Benzyna,Piaseczno,Mazowieckie,1999
12361,ford,Ford Cougar 2.5 24V,4900.0,290 160 km,manual,1 988 cm3,Benzyna,Bytom,Śląskie,1999
12362,ford,Ford Escort,4000.0,290 160 km,manual,1 988 cm3,Benzyna,Kępno,Wielkopolskie,1999
12363,ford,Ford Focus,4600.0,77 800 km,manual,1 299 cm3,Benzyna,Poznań,Wielkopolskie,1996
12364,ford,Ford Mondeo 2.5 Ghia,7900.0,77 800 km,manual,1 299 cm3,Benzyna,Leontynów,Mazowieckie,1996
