,brand,model,price_in_pln,mileage,gearbox,engine_capacity,fuel_type,city,voivodeship,year
18468,honda,Honda Civic 1.4i,4500.0,289 413 km,manual,1 396 cm3,Benzyna,Częstochowa,Śląskie,1997
18469,honda,Honda Accord 1.8i-16 S,8500.0,289 413 km,manual,1 396 cm3,Benzyna,Malbork,Pomorskie,1997
18470,honda,Honda Prelude 2.2i VTEC,89000.0,241 378 km,manual,1 850 cm3,Benzyna,Piaseczno,Mazowieckie,1996
18471,honda,Honda Civic 1.4i S,8100.0,241 378 km,manual,1 850 cm3,Benzyna,Racibórz,Śląskie,1996
18472,honda,Honda Accord,4500.0,15 150 km,manual,2 157 cm3,Benzyna,Warszawa,Mazowieckie,1999
18473,honda,Honda Accord,11500.0,15 150 km,manual,2 157 cm3,Benzyna,Ozimek,Opolskie,1999
18474,honda,Honda Accord 1.8,2300.0,172 500 km,manual,1 396 cm3,Benzyna,Dębica,Podkarpackie,1998
18475,honda,Honda CR-V 2.0 L 4WD,14900.0,172 500 km,manual,1 396 cm3,Benzyna,Poręba,Śląskie,1998
18476,honda,Honda Civic,16900.0,340 000 km,manual,1 850 cm3,Benzyna,Mielec,Podkarpackie,1999
18477,honda,Honda Civic,3500.0,340 000 km,manual,1 850 cm3,Benzyna,Warszawa,Mazowieckie,1999
18478,honda,Honda Civic,2100.0,360 000 km,manual,1 997 cm3,Benzyna+LPG,Bielsko-Biała,Śląskie,1999
18479,honda,Honda Accord 2.0i ES,18900.0,360 000 km,manual,1 997 cm3,Benzyna+LPG,Gorzów Wielkopolski,Lubuskie,1999
18480,honda,Honda Prelude 2.0 L,7000.0,263 978 km,manual,1 850 cm3,Benzyna+LPG,Boguszyn,Wielkopolskie,1997
18481,honda,Honda Prelude 2.0i S,35000.0,263 978 km,manual,1 850 cm3,Benzyna+LPG,Legnica,Dolnośląskie,1997
18482,honda,Honda Accord 1.8,8550.0,253 000 km,manual,1 973 cm3,Benzyna,Wilkanowo,Mazowieckie,1999
18483,honda,Honda Civic 1.6 VTi,29350.0,253 000 km,manual,1 973 cm3,Benzyna,Piaseczno,Mazowieckie,1999
18484,honda,Honda CR-V 2.0 Rvi 4WD,4900.0,59 000 km,manual,1 396 cm3,Benzyna,Warszawa,Mazowieckie,1996
18485,honda,Honda CRX 1.6 ESi DEL SOL,33700.0,59 000 km,manual,1 396 cm3,Benzyna,Bydgoszcz,Kujawsko-pomorskie,1996
18486,honda,Honda Civic 1.4i,8700.0,252 900 km,manual,1 396 cm3,Benzyna,Warszawa,Mazowieckie,1998
18487,honda,Honda Accord 1.8,2490.0,252 900 km,manual,1 396 cm3,Benzyna,Legionowo,Mazowieckie,1998
18488,honda,Honda Accord 2.0i ES,11000.0,310 000 km,manual,1 400 cm3,Benzyna+LPG,Warszawa,Mazowieckie,1997
18489,honda,Honda HR-V 1.6 4WD,14800.0,310 000 km,manual,1 400 cm3,Benzyna+LPG,Cisiec,Śląskie,1997
