,brand,model,price_in_pln,mileage,gearbox,engine_capacity,fuel_type,city,voivodeship,year
24073,infiniti,Infiniti Q30 1.5d Sport City Black,77000.0,94 000 km,manual,1 461 cm3,Diesel,Wrocław,Dolnośląskie,2016
24074,infiniti,Infiniti Q30 1.5d Business Executive,64900.0,94 000 km,manual,1 461 cm3,Diesel,Piotrków Trybunalski,Łódzkie,2016
24075,infiniti,Infiniti Q30 1.5d,14999.0,159 000 km,manual,1 461 cm3,Diesel,Kolbuszowa,Podkarpackie,2016
24076,infiniti,Infiniti Q30 1.5d,59500.0,159 000 km,manual,1 461 cm3,Diesel,Szczecin,Zachodniopomorskie,2016
24077,infiniti,Infiniti Q30,61700.0,149 000 km,manual,1 461 cm3,Diesel,Łajski,Mazowieckie,2017
24078,infiniti,Infiniti Q50 2.2d,50000.0,149 000 km,manual,1 461 cm3,Diesel,Warszawa,Mazowieckie,2017
24079,infiniti,Infiniti Q30 1.5d,59900.0,155 000 km,manual,1 461 cm3,Diesel,Wręczyca Wielka,Śląskie,2016
24080,infiniti,Infiniti Q30 1.5d Sport City Black,77000.0,94 000 km,manual,1 461 cm3,Diesel,Wrocław,Dolnośląskie,2016
24081,infiniti,Infiniti Q30 1.5d Business Executive,64900.0,94 000 km,manual,1 461 cm3,Diesel,Piotrków Trybunalski,Łódzkie,2016
24082,infiniti,Infiniti Q30 1.5d,14999.0,159 000 km,manual,1 461 cm3,Diesel,Kolbuszowa,Podkarpackie,2016
24083,infiniti,Infiniti Q30 1.5d,59500.0,159 000 km,manual,1 461 cm3,Diesel,Szczecin,Zachodniopomorskie,2016
24084,infiniti,Infiniti Q30,61700.0,149 000 km,manual,1 461 cm3,Diesel,Łajski,Mazowieckie,2017
24085,infiniti,Infiniti Q50 2.2d,50000.0,149 000 km,manual,1 461 cm3,Diesel,Warszawa,Mazowieckie,2017
24086,infiniti,Infiniti Q30 1.5d,59900.0,155 000 km,manual,1 461 cm3,Diesel,Wręczyca Wielka,Śląskie,2016
24087,infiniti,Infiniti Q50 2.2d,68500.0,144 000 km,manual,2 143 cm3,Diesel,Leszno,Wielkopolskie,2014
24088,infiniti,Infiniti Q50,56500.0,144 000 km,manual,2 143 cm3,Diesel,Rzgów,Łódzkie,2014
24089,infiniti,Infiniti Q50 2.2d,68000.0,131 000 km,manual,2 143 cm3,Diesel,Rybnik,Śląskie,2014
24090,infiniti,Infiniti G G37 S Premium,69000.0,131 000 km,manual,2 143 cm3,Diesel,Otwock,Mazowieckie,2014
24091,infiniti,Infiniti Q30 1.5d Sport City Black,77000.0,94 000 km,manual,1 461 cm3,Diesel,Wrocław,Dolnośląskie,2016
24092,infiniti,Infiniti Q30 1.5d Business Executive,64900.0,94 000 km,manual,1 461 cm3,Diesel,Piotrków Trybunalski,Łódzkie,2016
24093,infiniti,Infiniti Q30 1.5d,14999.0,159 000 km,manual,1 461 cm3,Diesel,Kolbuszowa,Podkarpackie,2016
24094,infiniti,Infiniti Q30 1.5d,59500.0,159 000 km,manual,1 461 cm3,Diesel,Szczecin,Zachodniopomorskie,2016
24095,infiniti,Infiniti Q30,61700.0,149 000 km,manual,1 461 cm3,Diesel,Łajski,Mazowieckie,2017
24096,infiniti,Infiniti Q50 2.2d,50000.0,149 000 km,manual,1 461 cm3,Diesel,Warszawa,Mazowieckie,2017
24097,infiniti,Infiniti Q30 1.5d,59900.0,155 000 km,manual,1 461 cm3,Diesel,Wręczyca Wielka,Śląskie,2016
24098,infiniti,Infiniti Q30 1.5d Sport City Black,77000.0,94 000 km,manual,1 461 cm3,Diesel,Wrocław,Dolnośląskie,2016
24099,infiniti,Infiniti Q30 1.5d Business Executive,64900.0,94 000 km,manual,1 461 cm3,Diesel,Piotrków Trybunalski,Łódzkie,2016
24100,infiniti,Infiniti Q30 1.5d,14999.0,159 000 km,manual,1 461 cm3,Diesel,Kolbuszowa,Podkarpackie,2016
24101,infiniti,Infiniti Q30 1.5d,59500.0,159 000 km,manual,1 461 cm3,Diesel,Szczecin,Zachodniopomorskie,2016
24102,infiniti,Infiniti Q30,61700.0,149 000 km,manual,1 461 cm3,Diesel,Łajski,Mazowieckie,2017
24103,infiniti,Infiniti Q50 2.2d,50000.0,149 000 km,manual,1 461 cm3,Diesel,Warszawa,Mazowieckie,2017
24104,infiniti,Infiniti Q30 1.5d,59900.0,155 000 km,manual,1 461 cm3,Diesel,Wręczyca Wielka,Śląskie,2016
24105,infiniti,Infiniti Q30 1.5d Sport City Black,77000.0,94 000 km,manual,1 461 cm3,Diesel,Wrocław,Dolnośląskie,2016
24106,infiniti,Infiniti Q30 1.5d Business Executive,64900.0,94 000 km,manual,1 461 cm3,Diesel,Piotrków Trybunalski,Łódzkie,2016
24107,infiniti,Infiniti Q30 1.5d,14999.0,159 000 km,manual,1 461 cm3,Diesel,Kolbuszowa,Podkarpackie,2016
24108,infiniti,Infiniti Q30 1.5d,59500.0,159 000 km,manual,1 461 cm3,Diesel,Szczecin,Zachodniopomorskie,2016
24109,infiniti,Infiniti Q30,61700.0,149 000 km,manual,1 461 cm3,Diesel,Łajski,Mazowieckie,2017
24110,infiniti,Infiniti Q50 2.2d,50000.0,149 000 km,manual,1 461 cm3,Diesel,Warszawa,Mazowieckie,2017
24111,infiniti,Infiniti Q30 1.5d,59900.0,155 000 km,manual,1 461 cm3,Diesel,Wręczyca Wielka,Śląskie,2016
24112,infiniti,Infiniti Q30 1.5d Sport City Black,77000.0,94 000 km,manual,1 461 cm3,Diesel,Wrocław,Dolnośląskie,2016
24113,infiniti,Infiniti Q30 1.5d Business Executive,64900.0,94 000 km,manual,1 461 cm3,Diesel,Piotrków Trybunalski,Łódzkie,2016
24114,infiniti,Infiniti Q30 1.5d,14999.0,159 000 km,manual,1 461 cm3,Diesel,Kolbuszowa,Podkarpackie,2016
24115,infiniti,Infiniti Q30 1.5d,59500.0,159 000 km,manual,1 461 cm3,Diesel,Szczecin,Zachodniopomorskie,2016
24116,infiniti,Infiniti Q30,61700.0,149 000 km,manual,1 461 cm3,Diesel,Łajski,Mazowieckie,2017
24117,infiniti,Infiniti Q50 2.2d,50000.0,149 000 km,manual,1 461 cm3,Diesel,Warszawa,Mazowieckie,2017
24118,infiniti,Infiniti Q30 1.5d,59900.0,155 000 km,manual,1 461 cm3,Diesel,Wręczyca Wielka,Śląskie,2016
24119,infiniti,Infiniti Q30 1.5d Sport City Black,77000.0,94 000 km,manual,1 461 cm3,Diesel,Wrocław,Dolnośląskie,2016
24120,infiniti,Infiniti Q30 1.5d Business Executive,64900.0,94 000 km,manual,1 461 cm3,Diesel,Piotrków Trybunalski,Łódzkie,2016
24121,infiniti,Infiniti Q30 1.5d,14999.0,159 000 km,manual,1 461 cm3,Diesel,Kolbuszowa,Podkarpackie,2016
24122,infiniti,Infiniti Q30 1.5d,59500.0,159 000 km,manual,1 461 cm3,Diesel,Szczecin,Zachodniopomorskie,2016
24123,infiniti,Infiniti Q30,61700.0,149 000 km,manual,1 461 cm3,Diesel,Łajski,Mazowieckie,2017
24124,infiniti,Infiniti Q50 2.2d,50000.0,149 000 km,manual,1 461 cm3,Diesel,Warszawa,Mazowieckie,2017
24125,infiniti,Infiniti Q30 1.5d,59900.0,155 000 km,manual,1 461 cm3,Diesel,Wręczyca Wielka,Śląskie,2016
24126,infiniti,Infiniti Q30 1.5d Sport City Black,77000.0,94 000 km,manual,1 461 cm3,Diesel,Wrocław,Dolnośląskie,2016
24127,infiniti,Infiniti Q30 1.5d Business Executive,64900.0,94 000 km,manual,1 461 cm3,Diesel,Piotrków Trybunalski,Łódzkie,2016
24128,infiniti,Infiniti Q30 1.5d,14999.0,159 000 km,manual,1 461 cm3,Diesel,Kolbuszowa,Podkarpackie,2016
24129,infiniti,Infiniti Q30 1.5d,59500.0,159 000 km,manual,1 461 cm3,Diesel,Szczecin,Zachodniopomorskie,2016
24130,infiniti,Infiniti Q30,61700.0,149 000 km,manual,1 461 cm3,Diesel,Łajski,Mazowieckie,2017
24131,infiniti,Infiniti Q50 2.2d,50000.0,149 000 km,manual,1 461 cm3,Diesel,Warszawa,Mazowieckie,2017
24132,infiniti,Infiniti Q30 1.5d,59900.0,155 000 km,manual,1 461 cm3,Diesel,Wręczyca Wielka,Śląskie,2016
24133,infiniti,Infiniti Q30 1.5d Sport City Black,77000.0,94 000 km,manual,1 461 cm3,Diesel,Wrocław,Dolnośląskie,2016
24134,infiniti,Infiniti Q30 1.5d Business Executive,64900.0,94 000 km,manual,1 461 cm3,Diesel,Piotrków Trybunalski,Łódzkie,2016
24135,infiniti,Infiniti Q30 1.5d,14999.0,159 000 km,manual,1 461 cm3,Diesel,Kolbuszowa,Podkarpackie,2016
24136,infiniti,Infiniti Q30 1.5d,59500.0,159 000 km,manual,1 461 cm3,Diesel,Szczecin,Zachodniopomorskie,2016
24137,infiniti,Infiniti Q30,61700.0,149 000 km,manual,1 461 cm3,Diesel,Łajski,Mazowieckie,2017
24138,infiniti,Infiniti Q50 2.2d,50000.0,149 000 km,manual,1 461 cm3,Diesel,Warszawa,Mazowieckie,2017
24139,infiniti,Infiniti Q30 1.5d,59900.0,155 000 km,manual,1 461 cm3,Diesel,Wręczyca Wielka,Śląskie,2016
24140,infiniti,Infiniti FX FX35,11000.0,144 000 km,automatic,3 498 cm3,Benzyna,Warszawa,Mazowieckie,2005
24141,infiniti,Infiniti FX FX35,32900.0,144 000 km,automatic,3 498 cm3,Benzyna,Lublin,Lubelskie,2005
24142,infiniti,Infiniti FX FX50 S Premium,69700.0,270 000 km,automatic,3 498 cm3,Benzyna+LPG,Wrocław,Dolnośląskie,2005
24143,infiniti,Infiniti G G37 AWD GT Premium,30300.0,270 000 km,automatic,3 498 cm3,Benzyna+LPG,Ostrołęka,Mazowieckie,2005
24144,infiniti,Infiniti G G35 3.5,35000.0,199 000 km,automatic,5 026 cm3,Benzyna,Warszawa,Mazowieckie,2009
24145,infiniti,Infiniti FX FX35,22500.0,199 000 km,automatic,5 026 cm3,Benzyna,Przeźmierowo,Wielkopolskie,2009
24146,infiniti,Infiniti G G37,48500.0,221 000 km,automatic,3 696 cm3,Benzyna,Stróża,Łódzkie,2008
24147,infiniti,Infiniti FX FX45,28000.0,221 000 km,automatic,3 696 cm3,Benzyna,Ostrołęka,Mazowieckie,2008
24148,infiniti,Infiniti FX FX37 S Premium,72500.0,177 000 km,automatic,3 498 cm3,Benzyna,Gdańsk,Pomorskie,2008
24149,infiniti,Infiniti FX FX35,47999.0,177 000 km,automatic,3 498 cm3,Benzyna,Gryfice,Zachodniopomorskie,2008
24150,infiniti,Infiniti EX EX35 4WD,45000.0,114 000 km,automatic,3 498 cm3,Benzyna,Rybnik,Śląskie,2005
24151,infiniti,Infiniti EX EX35 4WD,42000.0,114 000 km,automatic,3 498 cm3,Benzyna,Jabłonna,Mazowieckie,2005
24152,infiniti,Infiniti FX FX35,35000.0,214 000 km,automatic,3 696 cm3,Benzyna,Polkowice,Dolnośląskie,2009
24153,infiniti,Infiniti FX FX37 S,42000.0,214 000 km,automatic,3 696 cm3,Benzyna,Milicz,Dolnośląskie,2009
24154,infiniti,Infiniti FX FX50 S Premium,69000.0,128 000 km,automatic,4 494 cm3,Benzyna+LPG,Gniezno,Wielkopolskie,2005
24155,infiniti,Infiniti FX FX50 S Limited Edition,59999.0,128 000 km,automatic,4 494 cm3,Benzyna+LPG,Gdańsk,Pomorskie,2005
24156,infiniti,Infiniti EX EX37 GT,43900.0,211 000 km,automatic,3 696 cm3,Benzyna,Dąbrowa Górnicza,Śląskie,2009
