,brand,model,price_in_pln,mileage,gearbox,engine_capacity,fuel_type,city,voivodeship,year
24641,jaguar,Jaguar X-Type 2.5 Executive,8990.0,260 000 km,manual,2 495 cm3,Benzyna+LPG,Elbląg,Warmińsko-mazurskie,2002
24642,jaguar,Jaguar X-Type 2.0 D Classic,8000.0,260 000 km,manual,2 495 cm3,Benzyna+LPG,Grębów,Podkarpackie,2002
24643,jaguar,Jaguar X-Type,8200.0,239 600 km,manual,1 998 cm3,Diesel,Starogard Gdański,Pomorskie,2004
24644,jaguar,Jaguar X-Type 2.0 D Executive,2900.0,239 600 km,manual,1 998 cm3,Diesel,Bodzanów,Małopolskie,2004
24645,jaguar,Jaguar X-Type,11999.0,257 841 km,manual,1 998 cm3,Diesel,Opole,Opolskie,2004
24646,jaguar,Jaguar X-Type 2.0 D Executive,11999.0,257 841 km,manual,1 998 cm3,Diesel,Wrocław,Dolnośląskie,2004
24647,jaguar,Jaguar X-Type,5900.0,278 000 km,manual,1 998 cm3,Diesel,Warszawa,Mazowieckie,2004
24648,jaguar,Jaguar X-Type 2.0 D Entry/Classic,12600.0,278 000 km,manual,1 998 cm3,Diesel,Różnowo,Warmińsko-mazurskie,2004
24649,jaguar,Jaguar X-Type 2.5 Sport,17900.0,196 513 km,manual,2 099 cm3,Benzyna+LPG,Otmuchów,Opolskie,2004
24650,jaguar,Jaguar X-Type,13700.0,196 513 km,manual,2 099 cm3,Benzyna+LPG,Zwoleń,Mazowieckie,2004
24651,jaguar,Jaguar X-Type 2.0 High,11900.0,298 600 km,manual,1 998 cm3,Diesel,Żory,Śląskie,2004
24652,jaguar,Jaguar S-Type 3.0 V6 High,9500.0,298 600 km,manual,1 998 cm3,Diesel,Wrocław,Dolnośląskie,2004
24653,jaguar,Jaguar S-Type 3.0 V6 High,15900.0,330 000 km,manual,1 998 cm3,Diesel,Rawa Mazowiecka,Łódzkie,2004
24654,jaguar,Jaguar X-Type 2.0 D Sport,7500.0,330 000 km,manual,1 998 cm3,Diesel,Tczew,Pomorskie,2004
24655,jaguar,Jaguar X-Type 2.5 Executive,10800.0,173 252 km,manual,1 998 cm3,Diesel,Radom,Mazowieckie,2004
24656,jaguar,Jaguar X-Type 2.5 Sport,13500.0,173 252 km,manual,1 998 cm3,Diesel,Radom,Mazowieckie,2004
24657,jaguar,Jaguar X-Type 3.0 High,16900.0,142 000 km,manual,2 495 cm3,Benzyna,Radom,Mazowieckie,2004
24658,jaguar,Jaguar S-Type 3.0 V6 High,13000.0,142 000 km,manual,2 495 cm3,Benzyna,Łódź,Łódzkie,2004
24659,jaguar,Jaguar X-Type,13000.0,260 000 km,manual,2 500 cm3,Benzyna,Brzeziny,Łódzkie,2003
24660,jaguar,Jaguar X-Type 2.5 Sport,13499.0,260 000 km,manual,2 500 cm3,Benzyna,Jaworzno,Śląskie,2003
24661,jaguar,Jaguar X-Type 2.0 D Executive,5900.0,319 000 km,manual,2 099 cm3,Benzyna,Granowo,Wielkopolskie,2004
24662,jaguar,Jaguar X-Type 2.2 D Executive,11900.0,204 500 km,manual,2 198 cm3,Diesel,Gliwice,Śląskie,2007
24663,jaguar,Jaguar X-Type,12700.0,204 500 km,manual,2 198 cm3,Diesel,Płock,Mazowieckie,2007
24664,jaguar,Jaguar X-Type Estate 2.2 Diesel Classic,12000.0,284 000 km,manual,1 998 cm3,Diesel,Bytom,Śląskie,2005
24665,jaguar,Jaguar X-Type 2.0 D Entry/Classic,7800.0,284 000 km,manual,1 998 cm3,Diesel,Poznań,Wielkopolskie,2005
24666,jaguar,Jaguar X-Type,24700.0,187 000 km,manual,2 198 cm3,Diesel,Białystok,Podlaskie,2007
24667,jaguar,Jaguar S-Type 2.7 V6 D Sport,10000.0,187 000 km,manual,2 198 cm3,Diesel,Ruda Śląska,Śląskie,2007
24668,jaguar,Jaguar X-Type 3.0 Sport,16900.0,191 000 km,manual,1 998 cm3,Diesel,Regów Stary,Mazowieckie,2006
24669,jaguar,Jaguar X-Type 2.2 D Executive,9300.0,191 000 km,manual,1 998 cm3,Diesel,Warszawa,Mazowieckie,2006
24670,jaguar,Jaguar X-Type 2.0 D Executive,15500.0,125 000 km,manual,1 998 cm3,Diesel,Zawiercie,Śląskie,2008
24671,jaguar,Jaguar X-Type 2.0 D Executive,17500.0,125 000 km,manual,1 998 cm3,Diesel,Rymanów,Podkarpackie,2008
24672,jaguar,Jaguar X-Type 2.0 D Entry/Classic,9800.0,242 428 km,manual,2 720 cm3,Diesel,Bartodzieje,Mazowieckie,2006
24673,jaguar,Jaguar X-Type 2.0 D High,15400.0,242 428 km,manual,2 720 cm3,Diesel,Gdańsk,Pomorskie,2006
24674,jaguar,Jaguar X-Type 2.0 D Entry/Classic,11000.0,263 000 km,manual,2 967 cm3,Benzyna,Skarżysko-Kamienna,Świętokrzyskie,2006
24675,jaguar,Jaguar X-Type 2.0 D Executive,14900.0,263 000 km,manual,2 967 cm3,Benzyna,Lublin,Lubelskie,2006
24676,jaguar,Jaguar X-Type 2.2 D Executive,11900.0,204 500 km,manual,2 198 cm3,Diesel,Gliwice,Śląskie,2007
24677,jaguar,Jaguar X-Type,12700.0,204 500 km,manual,2 198 cm3,Diesel,Płock,Mazowieckie,2007
24678,jaguar,Jaguar X-Type Estate 2.2 Diesel Classic,12000.0,284 000 km,manual,1 998 cm3,Diesel,Bytom,Śląskie,2005
24679,jaguar,Jaguar X-Type 2.0 D Entry/Classic,7800.0,284 000 km,manual,1 998 cm3,Diesel,Poznań,Wielkopolskie,2005
24680,jaguar,Jaguar X-Type,24700.0,187 000 km,manual,2 198 cm3,Diesel,Białystok,Podlaskie,2007
24681,jaguar,Jaguar S-Type 2.7 V6 D Sport,10000.0,187 000 km,manual,2 198 cm3,Diesel,Ruda Śląska,Śląskie,2007
24682,jaguar,Jaguar X-Type 3.0 Sport,16900.0,191 000 km,manual,1 998 cm3,Diesel,Regów Stary,Mazowieckie,2006
24683,jaguar,Jaguar X-Type 2.2 D Executive,9300.0,191 000 km,manual,1 998 cm3,Diesel,Warszawa,Mazowieckie,2006
24684,jaguar,Jaguar X-Type 2.0 D Executive,15500.0,125 000 km,manual,1 998 cm3,Diesel,Zawiercie,Śląskie,2008
24685,jaguar,Jaguar X-Type 2.0 D Executive,17500.0,125 000 km,manual,1 998 cm3,Diesel,Rymanów,Podkarpackie,2008
24686,jaguar,Jaguar X-Type 2.0 D Entry/Classic,9800.0,242 428 km,manual,2 720 cm3,Diesel,Bartodzieje,Mazowieckie,2006
24687,jaguar,Jaguar X-Type 2.0 D High,15400.0,242 428 km,manual,2 720 cm3,Diesel,Gdańsk,Pomorskie,2006
24688,jaguar,Jaguar X-Type 2.0 D Entry/Classic,11000.0,263 000 km,manual,2 967 cm3,Benzyna,Skarżysko-Kamienna,Świętokrzyskie,2006
24689,jaguar,Jaguar X-Type 2.0 D Executive,14900.0,263 000 km,manual,2 967 cm3,Benzyna,Lublin,Lubelskie,2006
24690,jaguar,Jaguar X-Type 2.5 Executive,8990.0,260 000 km,manual,2 495 cm3,Benzyna+LPG,Elbląg,Warmińsko-mazurskie,2002
24691,jaguar,Jaguar X-Type 2.0 D Classic,8000.0,260 000 km,manual,2 495 cm3,Benzyna+LPG,Grębów,Podkarpackie,2002
24692,jaguar,Jaguar X-Type,8200.0,239 600 km,manual,1 998 cm3,Diesel,Starogard Gdański,Pomorskie,2004
24693,jaguar,Jaguar X-Type 2.0 D Executive,2900.0,239 600 km,manual,1 998 cm3,Diesel,Bodzanów,Małopolskie,2004
24694,jaguar,Jaguar X-Type,11999.0,257 841 km,manual,1 998 cm3,Diesel,Opole,Opolskie,2004
24695,jaguar,Jaguar X-Type 2.0 D Executive,11999.0,257 841 km,manual,1 998 cm3,Diesel,Wrocław,Dolnośląskie,2004
24696,jaguar,Jaguar X-Type,5900.0,278 000 km,manual,1 998 cm3,Diesel,Warszawa,Mazowieckie,2004
24697,jaguar,Jaguar X-Type 2.0 D Entry/Classic,12600.0,278 000 km,manual,1 998 cm3,Diesel,Różnowo,Warmińsko-mazurskie,2004
24698,jaguar,Jaguar X-Type 2.5 Sport,17900.0,196 513 km,manual,2 099 cm3,Benzyna+LPG,Otmuchów,Opolskie,2004
24699,jaguar,Jaguar X-Type,13700.0,196 513 km,manual,2 099 cm3,Benzyna+LPG,Zwoleń,Mazowieckie,2004
24700,jaguar,Jaguar X-Type 2.0 High,11900.0,298 600 km,manual,1 998 cm3,Diesel,Żory,Śląskie,2004
24701,jaguar,Jaguar S-Type 3.0 V6 High,9500.0,298 600 km,manual,1 998 cm3,Diesel,Wrocław,Dolnośląskie,2004
24702,jaguar,Jaguar S-Type 3.0 V6 High,15900.0,330 000 km,manual,1 998 cm3,Diesel,Rawa Mazowiecka,Łódzkie,2004
24703,jaguar,Jaguar X-Type 2.0 D Sport,7500.0,330 000 km,manual,1 998 cm3,Diesel,Tczew,Pomorskie,2004
24704,jaguar,Jaguar X-Type 2.5 Executive,10800.0,173 252 km,manual,1 998 cm3,Diesel,Radom,Mazowieckie,2004
24705,jaguar,Jaguar X-Type 2.5 Sport,13500.0,173 252 km,manual,1 998 cm3,Diesel,Radom,Mazowieckie,2004
24706,jaguar,Jaguar X-Type 3.0 High,16900.0,142 000 km,manual,2 495 cm3,Benzyna,Radom,Mazowieckie,2004
24707,jaguar,Jaguar S-Type 3.0 V6 High,13000.0,142 000 km,manual,2 495 cm3,Benzyna,Łódź,Łódzkie,2004
24708,jaguar,Jaguar X-Type,13000.0,260 000 km,manual,2 500 cm3,Benzyna,Brzeziny,Łódzkie,2003
24709,jaguar,Jaguar X-Type 2.5 Sport,13499.0,260 000 km,manual,2 500 cm3,Benzyna,Jaworzno,Śląskie,2003
24710,jaguar,Jaguar X-Type 2.0 D Executive,5900.0,319 000 km,manual,2 099 cm3,Benzyna,Granowo,Wielkopolskie,2004
24711,jaguar,Jaguar XF 2.0 i4D Pure,129027.0,43 100 km,manual,1 999 cm3,Diesel,Parczew,Lubelskie,2020
24712,jaguar,Jaguar X-Type 2.2 D Executive,11900.0,204 500 km,manual,2 198 cm3,Diesel,Gliwice,Śląskie,2007
24713,jaguar,Jaguar X-Type,12700.0,204 500 km,manual,2 198 cm3,Diesel,Płock,Mazowieckie,2007
24714,jaguar,Jaguar X-Type Estate 2.2 Diesel Classic,12000.0,284 000 km,manual,1 998 cm3,Diesel,Bytom,Śląskie,2005
24715,jaguar,Jaguar X-Type 2.0 D Entry/Classic,7800.0,284 000 km,manual,1 998 cm3,Diesel,Poznań,Wielkopolskie,2005
24716,jaguar,Jaguar X-Type,24700.0,187 000 km,manual,2 198 cm3,Diesel,Białystok,Podlaskie,2007
24717,jaguar,Jaguar S-Type 2.7 V6 D Sport,10000.0,187 000 km,manual,2 198 cm3,Diesel,Ruda Śląska,Śląskie,2007
24718,jaguar,Jaguar X-Type 3.0 Sport,16900.0,191 000 km,manual,1 998 cm3,Diesel,Regów Stary,Mazowieckie,2006
24719,jaguar,Jaguar X-Type 2.2 D Executive,9300.0,191 000 km,manual,1 998 cm3,Diesel,Warszawa,Mazowieckie,2006
24720,jaguar,Jaguar X-Type 2.0 D Executive,15500.0,125 000 km,manual,1 998 cm3,Diesel,Zawiercie,Śląskie,2008
24721,jaguar,Jaguar X-Type 2.0 D Executive,17500.0,125 000 km,manual,1 998 cm3,Diesel,Rymanów,Podkarpackie,2008
24722,jaguar,Jaguar X-Type 2.0 D Entry/Classic,9800.0,242 428 km,manual,2 720 cm3,Diesel,Bartodzieje,Mazowieckie,2006
24723,jaguar,Jaguar X-Type 2.0 D High,15400.0,242 428 km,manual,2 720 cm3,Diesel,Gdańsk,Pomorskie,2006
24724,jaguar,Jaguar X-Type 2.0 D Entry/Classic,11000.0,263 000 km,manual,2 967 cm3,Benzyna,Skarżysko-Kamienna,Świętokrzyskie,2006
24725,jaguar,Jaguar X-Type 2.0 D Executive,14900.0,263 000 km,manual,2 967 cm3,Benzyna,Lublin,Lubelskie,2006
24726,jaguar,Jaguar F-Pace 2.0 i4D RWD R-Sport,98900.0,114 000 km,manual,1 999 cm3,Diesel,Zduńska Wola,Łódzkie,2016
24727,jaguar,Jaguar XE 2.0 D Pure,59900.0,114 000 km,manual,1 999 cm3,Diesel,Koluszki,Łódzkie,2016
24728,jaguar,Jaguar F-Pace 2.0 i4D AWD Prestige,127000.0,236 293 km,manual,1 999 cm3,Diesel,Wrocław,Dolnośląskie,2015
24729,jaguar,Jaguar XF,69000.0,236 293 km,manual,1 999 cm3,Diesel,Konarzyce,Podlaskie,2015
24730,jaguar,Jaguar XE 2.0 D Prestige,67000.0,82 000 km,manual,1 999 cm3,Diesel,Gdynia,Pomorskie,2018
24731,jaguar,Jaguar XE,54800.0,82 000 km,manual,1 999 cm3,Diesel,Ostrów Wielkopolski,Wielkopolskie,2018
24732,jaguar,Jaguar XE E-Performance Prestige,57550.0,127 000 km,manual,2 179 cm3,Diesel,Świnoujście,Zachodniopomorskie,2016
24733,jaguar,Jaguar F-Pace 20d Prestige,119999.0,127 000 km,manual,2 179 cm3,Diesel,Szczecin,Zachodniopomorskie,2016
24734,jaguar,Jaguar XF 2.0 i4D Pure,75900.0,142 000 km,manual,1 999 cm3,Diesel,Nowy Sącz,Małopolskie,2015
24735,jaguar,Jaguar F-Pace 2.0 i4D AWD Prestige,64900.0,142 000 km,manual,1 999 cm3,Diesel,Stargard Szczeciński,Zachodniopomorskie,2015
24736,jaguar,Jaguar F-Pace,125000.0,179 000 km,manual,1 999 cm3,Diesel,Piła,Wielkopolskie,2016
24737,jaguar,Jaguar E-Pace 2.0 i4D AWD R-Dynamic,120000.0,179 000 km,manual,1 999 cm3,Diesel,Zawiercie,Śląskie,2016
24738,jaguar,Jaguar XE 2.0 D Portfolio,62900.0,277 000 km,manual,1 999 cm3,Diesel,Słupsk,Pomorskie,2017
24739,jaguar,Jaguar XE 2.0 D R-Sport,71000.0,277 000 km,manual,1 999 cm3,Diesel,Choszczno,Zachodniopomorskie,2017
24740,jaguar,Jaguar E-Pace,119000.0,139 000 km,manual,1 999 cm3,Diesel,Długołęka,Dolnośląskie,2016
24741,jaguar,Jaguar E-Pace,69999.0,139 000 km,manual,1 999 cm3,Diesel,Otmuchów,Opolskie,2016
24742,jaguar,Jaguar XE 2.0 D Portfolio,65000.0,126 400 km,manual,1 999 cm3,Diesel,Września,Wielkopolskie,2016
24743,jaguar,Jaguar F-Pace,97170.0,126 400 km,manual,1 999 cm3,Diesel,Pionki,Mazowieckie,2016
24744,jaguar,Jaguar F-Pace,97170.0,114 000 km,manual,1 999 cm3,Diesel,Pionki,Mazowieckie,2017
24745,jaguar,Jaguar F-Pace 2.0 i4D AWD Portfolio,139000.0,114 000 km,manual,1 999 cm3,Diesel,Głogów,Dolnośląskie,2017
24746,jaguar,Jaguar E-Pace D150 AWD R-Dynamic SE,99999.0,164 000 km,manual,1 999 cm3,Diesel,Ostrów Wielkopolski,Wielkopolskie,2016
24747,jaguar,Jaguar S-Type 3.0 V6 High,19900.0,178 000 km,automatic,2 967 cm3,Benzyna,Bydgoszcz,Kujawsko-pomorskie,2004
24748,jaguar,Jaguar X-Type 3.0 Executive,17999.0,178 000 km,automatic,2 967 cm3,Benzyna,Swarzędz,Wielkopolskie,2004
24749,jaguar,Jaguar XJR Standard,35000.0,199 000 km,automatic,2 967 cm3,Benzyna,Gdańsk,Pomorskie,2003
24750,jaguar,Jaguar XK,87800.0,199 000 km,automatic,2 967 cm3,Benzyna,Radom,Mazowieckie,2003
24751,jaguar,Jaguar X-Type Estate 2.5 V6 4x4 Executive,5400.0,301 000 km,automatic,3 996 cm3,Benzyna,Strzyżów,Lubelskie,2000
24752,jaguar,Jaguar S-Type 4.2 V8,24000.0,301 000 km,automatic,3 996 cm3,Benzyna,Bieruń,Śląskie,2000
24753,jaguar,Jaguar XJ XJ6 3.0 High,18500.0,190 112 km,automatic,3 996 cm3,Benzyna,Ostrów Wielkopolski,Wielkopolskie,2000
24754,jaguar,Jaguar S-Type 4.0 V8,17900.0,190 112 km,automatic,3 996 cm3,Benzyna,Słupca,Wielkopolskie,2000
24755,jaguar,Jaguar S-Type 4.2 V8,21200.0,250 000 km,automatic,2 495 cm3,Benzyna,Wojcieszków,Lubelskie,2002
24756,jaguar,Jaguar S-Type 3.0 V6 High,19900.0,178 000 km,automatic,2 967 cm3,Benzyna,Bydgoszcz,Kujawsko-pomorskie,2004
24757,jaguar,Jaguar X-Type 3.0 Executive,17999.0,178 000 km,automatic,2 967 cm3,Benzyna,Swarzędz,Wielkopolskie,2004
24758,jaguar,Jaguar XJR Standard,35000.0,199 000 km,automatic,2 967 cm3,Benzyna,Gdańsk,Pomorskie,2003
24759,jaguar,Jaguar XK,87800.0,199 000 km,automatic,2 967 cm3,Benzyna,Radom,Mazowieckie,2003
24760,jaguar,Jaguar X-Type Estate 2.5 V6 4x4 Executive,5400.0,301 000 km,automatic,3 996 cm3,Benzyna,Strzyżów,Lubelskie,2000
24761,jaguar,Jaguar S-Type 4.2 V8,24000.0,301 000 km,automatic,3 996 cm3,Benzyna,Bieruń,Śląskie,2000
24762,jaguar,Jaguar XJ XJ6 3.0 High,18500.0,190 112 km,automatic,3 996 cm3,Benzyna,Ostrów Wielkopolski,Wielkopolskie,2000
