,brand,model,price_in_pln,mileage,gearbox,engine_capacity,fuel_type,city,voivodeship,year
25946,kia,Kia Sportage 2.0 4WD MRDi,7900.0,193 717 km,manual,1 998 cm3,Benzyna+LPG,Myszyniec,Mazowieckie,1998
25947,kia,Kia Sportage 2.0,19900.0,193 717 km,manual,1 998 cm3,Benzyna+LPG,Myślenice,Małopolskie,1998
25948,kia,Kia Sephia II 1.5 LS (abs air),3199.0,198 113 km,manual,1 998 cm3,Benzyna,Białystok,Podlaskie,1997
25949,kia,Kia Sportage 2.0,16500.0,198 113 km,manual,1 998 cm3,Benzyna,Chojnice,Pomorskie,1997
25950,kia,Kia Asia Rocsta 2.2 D,11500.0,120 000 km,manual,1 498 cm3,Benzyna+LPG,Szczecin,Zachodniopomorskie,1998
25951,kia,Kia Sportage 2.0 TD,3500.0,120 000 km,manual,1 498 cm3,Benzyna+LPG,Warszawa,Mazowieckie,1998
25952,kia,Kia Sportage 2.0 4WD MRDi,22900.0,140 000 km,manual,1 998 cm3,Benzyna,Ostrów Mazowiecka,Mazowieckie,1997
25953,kia,Kia Sportage 2.0 16V RS,6999.0,140 000 km,manual,1 998 cm3,Benzyna,Chojnów,Dolnośląskie,1997
25954,kia,Kia Elan,43800.0,69 100 km,manual,2 184 cm3,Diesel,Tomaszów Mazowiecki,Łódzkie,1996
25955,kia,Kia Sportage 2.0 4WD MRDi,8000.0,69 100 km,manual,2 184 cm3,Diesel,Bledzew,Lubuskie,1996
25956,kia,Kia Sephia,4000.0,232 280 km,manual,1 998 cm3,Diesel,Gdynia,Pomorskie,1999
26117,kia,Kia Sportage 2.0 4WD MRDi,7900.0,193 717 km,manual,1 998 cm3,Benzyna+LPG,Myszyniec,Mazowieckie,1998
26118,kia,Kia Sportage 2.0,19900.0,193 717 km,manual,1 998 cm3,Benzyna+LPG,Myślenice,Małopolskie,1998
26119,kia,Kia Sephia II 1.5 LS (abs air),3199.0,198 113 km,manual,1 998 cm3,Benzyna,Białystok,Podlaskie,1997
26120,kia,Kia Sportage 2.0,16500.0,198 113 km,manual,1 998 cm3,Benzyna,Chojnice,Pomorskie,1997
