,brand,model,price_in_pln,mileage,gearbox,engine_capacity,fuel_type,city,voivodeship,year
28644,lancia,Lancia Ypsilon 1.3JTD Argento,5199.0,150 000 km,manual,1 248 cm3,Diesel,Białystok,Podlaskie,2004
28645,lancia,Lancia Thesis 2.0 T 20v Emblema,6150.0,150 000 km,manual,1 248 cm3,Diesel,Toruń,Kujawsko-pomorskie,2004
28646,lancia,Lancia Lybra,4899.0,320 000 km,manual,1 998 cm3,Benzyna,Wieluń,Łódzkie,2002
28647,lancia,Lancia Ypsilon 1.4 16v Argento,4000.0,320 000 km,manual,1 998 cm3,Benzyna,Lublin,Lubelskie,2002
28648,lancia,Lancia Phedra,9999.0,204 000 km,manual,1 910 cm3,Diesel,Wałbrzych,Dolnośląskie,2001
28649,lancia,Lancia Ypsilon Y 1.2 8v Elefantino Gold,12700.0,204 000 km,manual,1 910 cm3,Diesel,Margonin,Wielkopolskie,2001
28650,lancia,Lancia Lybra Kombi 2.4 JTD LX,6000.0,130 767 km,manual,1 368 cm3,Benzyna,Przecław,Zachodniopomorskie,2004
28651,lancia,Lancia Lybra,6900.0,130 767 km,manual,1 368 cm3,Benzyna,Żory,Śląskie,2004
28652,lancia,Lancia Kappa 2.0 LE,13900.0,166 900 km,manual,1 998 cm3,Benzyna,Łódź,Łódzkie,1999
28653,lancia,Lancia Delta HPE 2.0 HF,39999.0,166 900 km,manual,1 998 cm3,Benzyna,Warszawa,Mazowieckie,1999
28654,lancia,Lancia Lybra,3499.0,183 000 km,manual,1 995 cm3,Benzyna,Brodziszewo,Wielkopolskie,1995
28655,lancia,Lancia Kappa,33600.0,183 000 km,manual,1 995 cm3,Benzyna,Bielsko-Biała,Śląskie,1995
28656,lancia,Lancia Delta,7900.0,197 000 km,manual,1 910 cm3,Diesel,Legnica,Dolnośląskie,1999
28657,lancia,Lancia Delta HPE 2000,15900.0,197 000 km,manual,1 910 cm3,Diesel,Nysa,Opolskie,1999
28658,lancia,Lancia Kappa 2.0 Turbo,10000.0,158 000 km,manual,1 998 cm3,Benzyna,Zebrzydowice,Małopolskie,1999
28659,lancia,Lancia Kappa 2.0 Turbo LS,10000.0,158 000 km,manual,1 998 cm3,Benzyna,Warszawa,Mazowieckie,1999
28660,lancia,Lancia Kappa 2.0 Turbo LX,23500.0,93 300 km,manual,1 581 cm3,Benzyna,Rzeszów,Podkarpackie,1995
28661,lancia,Lancia Ypsilon,24900.0,66 000 km,manual,1 242 cm3,Benzyna,Radlin,Świętokrzyskie,2016
28662,lancia,Lancia Ypsilon,24900.0,66 000 km,manual,1 242 cm3,Benzyna,Skrwilno,Kujawsko-pomorskie,2016
28663,lancia,Lancia Ypsilon,24900.0,66 000 km,manual,1 242 cm3,Benzyna,Radlin,Świętokrzyskie,2016
28664,lancia,Lancia Ypsilon,24900.0,66 000 km,manual,1 242 cm3,Benzyna,Skrwilno,Kujawsko-pomorskie,2016
28665,lancia,Lancia Delta,24500.0,280 000 km,manual,1 368 cm3,Benzyna+LPG,Warszawa,Mazowieckie,2010
28666,lancia,Lancia Phedra 2.0 Multijet 16v DPF Limited Edition,10900.0,280 000 km,manual,1 368 cm3,Benzyna+LPG,Syców,Dolnośląskie,2010
28667,lancia,Lancia Delta,20000.0,231 116 km,manual,1 997 cm3,Diesel,Płock,Mazowieckie,2010
28668,lancia,Lancia Delta,26900.0,231 116 km,manual,1 997 cm3,Diesel,Międzyrzecze Górne,Śląskie,2010
28669,lancia,Lancia Ypsilon 1.2 8V Platino (4 os.),13900.0,243 000 km,manual,1 598 cm3,Diesel,Poznań,Wielkopolskie,2011
28670,lancia,Lancia Delta,27900.0,243 000 km,manual,1 598 cm3,Diesel,Świątniki Górne,Małopolskie,2011
28671,lancia,Lancia Delta,26500.0,163 957 km,manual,1 368 cm3,Benzyna+LPG,Warszawa,Mazowieckie,2010
28672,lancia,Lancia Ypsilon,22600.0,163 957 km,manual,1 368 cm3,Benzyna+LPG,Łódź,Łódzkie,2010
28673,lancia,Lancia Delta 1.4 T-Jet Silver,23900.0,114 380 km,manual,1 242 cm3,Benzyna,Dębica,Podkarpackie,2011
28674,lancia,Lancia Delta 1.4 MultiAir Silver S&S,20900.0,114 380 km,manual,1 242 cm3,Benzyna,Dąbrowa Górnicza,Śląskie,2011
28675,lancia,Lancia Delta 2.0 MJ Oro,17900.0,194 000 km,manual,1 368 cm3,Benzyna,Elbląg,Warmińsko-mazurskie,2011
28676,lancia,Lancia Delta 1.9 MJ TB Platinum,21800.0,194 000 km,manual,1 368 cm3,Benzyna,Ostrów Wielkopolski,Wielkopolskie,2011
28677,lancia,Lancia Delta 1.4 T-Jet Silver,31500.0,154 000 km,manual,1 368 cm3,Benzyna+LPG,Rzeszów,Podkarpackie,2012
28678,lancia,Lancia Musa 1.4 16v Platinum,19900.0,154 000 km,manual,1 368 cm3,Benzyna+LPG,Gniezno,Wielkopolskie,2012
28679,lancia,Lancia Delta,23500.0,120 562 km,manual,875 cm3,Benzyna,Mosina,Wielkopolskie,2011
28680,lancia,Lancia Ypsilon,12500.0,120 562 km,manual,875 cm3,Benzyna,Bielany Wrocławskie,Dolnośląskie,2011
28681,lancia,Lancia Delta 1.6 MultiJet 16v Gold,21900.0,202 214 km,manual,1 368 cm3,Benzyna,Bodzanów,Małopolskie,2012
28682,lancia,Lancia Ypsilon 0.9 Gold S&S,22900.0,202 214 km,manual,1 368 cm3,Benzyna,Jasło,Podkarpackie,2012
