,brand,model,price_in_pln,mileage,gearbox,engine_capacity,fuel_type,city,voivodeship,year
28753,land-rover,Land Rover Discovery,35000.0,307 000 km,manual,2 496 cm3,Diesel,Piaseczno,Mazowieckie,1996
28754,land-rover,Land Rover Defender,199000.0,307 000 km,manual,2 496 cm3,Diesel,Bydgoszcz,Kujawsko-pomorskie,1996
28755,land-rover,Land Rover Discovery 2.5 TDI,17000.0,188 777 km,manual,2 495 cm3,Diesel,Jaktorów,Mazowieckie,1995
28756,land-rover,Land Rover Defender 90 2.5 TDI,79900.0,188 777 km,manual,2 495 cm3,Diesel,Długołęka,Dolnośląskie,1995
28757,land-rover,Land Rover Discovery 2.5 TDI,10900.0,350 000 km,manual,2 496 cm3,Diesel,Warszawa,Mazowieckie,1995
28758,land-rover,Land Rover Defender 110 2.5 TDI,49999.0,350 000 km,manual,2 496 cm3,Diesel,Łomża,Podlaskie,1995
28759,land-rover,Land Rover Defender,129000.0,59 900 km,manual,2 495 cm3,Diesel,Warszawa,Mazowieckie,1999
28760,land-rover,Land Rover Discovery 2.5 TDI,18900.0,59 900 km,manual,2 495 cm3,Diesel,Garwolin,Mazowieckie,1999
28761,land-rover,Land Rover Discovery,24400.0,333 133 km,manual,2 496 cm3,Diesel,Garwolin,Mazowieckie,1996
28762,land-rover,Land Rover Freelander,13900.0,333 133 km,manual,2 496 cm3,Diesel,Dzierzgoń,Pomorskie,1996
28763,land-rover,Land Rover Freelander 2.0 D,9900.0,246 000 km,manual,2 495 cm3,Diesel,Warszawa,Mazowieckie,1999
28764,land-rover,Land Rover Defender,68000.0,246 000 km,manual,2 495 cm3,Diesel,Gniezno,Wielkopolskie,1999
28765,land-rover,Land Rover Defender 90 2.5 TDI,45000.0,177 077 km,manual,2 495 cm3,Diesel,Łomża,Podlaskie,1997
28766,land-rover,Land Rover Freelander 1.8,9400.0,177 077 km,manual,2 495 cm3,Diesel,Warszawa,Mazowieckie,1997
28767,land-rover,Land Rover Freelander 2.0 Td Energy,18800.0,198 888 km,manual,1 950 cm3,Diesel,Dzierżoniów,Dolnośląskie,2006
28768,land-rover,Land Rover Discovery,25900.0,198 888 km,manual,1 950 cm3,Diesel,Kłodzko,Dolnośląskie,2006
