,brand,model,price_in_pln,mileage,gearbox,engine_capacity,fuel_type,city,voivodeship,year
29883,mazda,Mazda MX-6 2.0,15400.0,258 000 km,manual,1 991 cm3,Benzyna,Jasło,Podkarpackie,1996
29884,mazda,Mazda 626 2.0 TD,3500.0,258 000 km,manual,1 991 cm3,Benzyna,Poznań,Wielkopolskie,1996
29886,mazda,Mazda 3 1.6 16V Exclusive,5600.0,246 500 km,manual,1 598 cm3,Benzyna+LPG,Szczecin,Zachodniopomorskie,2003
29887,mazda,Mazda 3 2.0 Top,12000.0,246 500 km,manual,1 598 cm3,Benzyna+LPG,Ostrów Wielkopolski,Wielkopolskie,2003
29888,mazda,Mazda 3 2.0 Sport Active,3999.0,108 000 km,manual,1 999 cm3,Benzyna,Łobez,Zachodniopomorskie,2003
29889,mazda,Mazda 6,6400.0,108 000 km,manual,1 999 cm3,Benzyna,Łowkowice,Opolskie,2003
29890,mazda,Mazda 2 1.4 Exclusive,10900.0,349 000 km,manual,1 999 cm3,Benzyna+LPG,Kraśnik,Lubelskie,2003
29891,mazda,Mazda Tribute 2.0 Comfort 2WD,12900.0,349 000 km,manual,1 999 cm3,Benzyna+LPG,Poznań,Wielkopolskie,2003
29892,mazda,Mazda 3 1.6 16V Exclusive,9999.0,273 000 km,manual,1 999 cm3,Benzyna+LPG,Sosnowiec,Śląskie,2003
29893,mazda,Mazda 6 1.8 Comfort,7000.0,273 000 km,manual,1 999 cm3,Benzyna+LPG,Sucha,Lubuskie,2003
29894,mazda,Mazda MX-5 1.6 16V,17500.0,169 274 km,manual,1 388 cm3,Benzyna,Ełk,Warmińsko-mazurskie,2003
29895,mazda,Mazda MX-5 1.8 16V,27000.0,169 274 km,manual,1 388 cm3,Benzyna,Warszawa,Mazowieckie,2003
29896,mazda,Mazda 6,12000.0,124 000 km,manual,1 989 cm3,Benzyna,Poznań,Wielkopolskie,2000
29897,mazda,Mazda Premacy 1.8 Exclusive,3900.0,124 000 km,manual,1 989 cm3,Benzyna,Rybnik,Śląskie,2000
29898,mazda,Mazda MPV 2.0 TD Exclusive,4900.0,170 123 km,manual,1 598 cm3,Benzyna+LPG,Radostowice,Śląskie,2004
29899,mazda,Mazda MX-5 1.6 16V,18500.0,170 123 km,manual,1 598 cm3,Benzyna+LPG,Zduńska Wola,Łódzkie,2004
