,brand,model,price_in_pln,mileage,gearbox,engine_capacity,fuel_type,city,voivodeship,year
52161,peugeot,Peugeot 406,4900.0,254 805 km,manual,1 905 cm3,Diesel,Czechowice-Dziedzice,Śląskie,1998
52162,peugeot,Peugeot 406,4200.0,254 805 km,manual,1 905 cm3,Diesel,Warszawa,Mazowieckie,1998
52163,peugeot,Peugeot 206 1.1 X-Line,3199.0,544 000 km,manual,1 997 cm3,Benzyna+LPG,Białystok,Podlaskie,1999
52164,peugeot,Peugeot Boxer,5699.0,544 000 km,manual,1 997 cm3,Benzyna+LPG,Białystok,Podlaskie,1999
52165,peugeot,Peugeot 306 1.4 XN,6000.0,212 112 km,manual,1 124 cm3,Benzyna,Kowale,Pomorskie,1999
52166,peugeot,Peugeot 206 1.1 Color-Line,2450.0,212 112 km,manual,1 124 cm3,Benzyna,Bydgoszcz,Kujawsko-pomorskie,1999
52167,peugeot,Peugeot 306,4900.0,213 123 km,manual,2 500 cm3,Diesel,Gostyń,Wielkopolskie,1999
52168,peugeot,Peugeot 205,6900.0,213 123 km,manual,2 500 cm3,Diesel,Wojcieszów,Dolnośląskie,1999
52169,peugeot,Peugeot 106 1.4 Sport,8900.0,175 000 km,manual,1 361 cm3,Benzyna,Radziechowy,Śląskie,1999
52170,peugeot,Peugeot 806,3900.0,175 000 km,manual,1 361 cm3,Benzyna,Ożarów Mazowiecki,Mazowieckie,1999
52171,peugeot,Peugeot 206 1.4 Mistral,4499.0,232 872 km,manual,1 124 cm3,Benzyna,Tarnów,Małopolskie,1999
52172,peugeot,Peugeot 306 1.4 XN,1900.0,232 872 km,manual,1 124 cm3,Benzyna,Warszawa,Mazowieckie,1999
52173,peugeot,Peugeot 605 3.0 SV,24900.0,177 653 km,manual,1 587 cm3,Benzyna,Leżajsk,Podkarpackie,1996
52174,peugeot,Peugeot 406 2.0 ST,3600.0,177 653 km,manual,1 587 cm3,Benzyna,Łódź,Łódzkie,1996
52175,peugeot,Peugeot 605 2.5 SVDT,12900.0,166 200 km,manual,1 124 cm3,Benzyna,Nowy Sącz,Małopolskie,1996
52176,peugeot,Peugeot 106 1.1 Classic,3900.0,166 200 km,manual,1 124 cm3,Benzyna,Warszawa,Mazowieckie,1996
52177,peugeot,Peugeot 407,4999.0,149 623 km,manual,1 361 cm3,Benzyna,Komorniki,Wielkopolskie,1999
52178,peugeot,Peugeot 206 1.1 Color-Line,4990.0,149 623 km,manual,1 361 cm3,Benzyna,Rzuchów,Śląskie,1999
