,brand,model,price_in_pln,mileage,gearbox,engine_capacity,fuel_type,city,voivodeship,year
64802,saab,Saab 900 2.3 S,6900.0,236 000 km,manual,2 290 cm3,Benzyna,Warszawa,Mazowieckie,1997
64803,saab,Saab 9-3 SE 2.0T,8500.0,236 000 km,manual,2 290 cm3,Benzyna,Marki,Mazowieckie,1997
64804,saab,Saab 900 Coupe 2.0 S,9900.0,280 000 km,manual,1 985 cm3,Benzyna,Maszewo Duże,Mazowieckie,1999
64805,saab,Saab 9-3 Viggen 2.3TS,69900.0,280 000 km,manual,1 985 cm3,Benzyna,Warszawa,Mazowieckie,1999
64806,saab,Saab 9-3,3500.0,218 000 km,manual,1 985 cm3,Benzyna,Parczew,Lubelskie,1995
64807,saab,Saab 900 Coupe 2.0 S,11500.0,218 000 km,manual,1 985 cm3,Benzyna,Strzelin,Dolnośląskie,1995
64808,saab,Saab 9-5 Aero 2.3 TS,11700.0,222 222 km,manual,2 290 cm3,Benzyna,Żerniki Górne,Świętokrzyskie,1999
64809,saab,Saab 900 Coupe 2.3 S,7900.0,222 222 km,manual,2 290 cm3,Benzyna,Stargard Szczeciński,Zachodniopomorskie,1999
64810,saab,Saab 9-3 Viggen 2.3TS,62000.0,330 750 km,manual,2 200 cm3,Diesel,Lublin,Lubelskie,1998
64811,saab,Saab 9-3,17800.0,330 750 km,manual,2 200 cm3,Diesel,Gdańsk,Pomorskie,1998
64812,saab,Saab 900 Cabriolet 2.3 SE,15500.0,212 000 km,manual,1 985 cm3,Benzyna,Kutno,Łódzkie,1995
64813,saab,Saab 900 2.0 SE Turbo,9800.0,212 000 km,manual,1 985 cm3,Benzyna,Antoniów,Śląskie,1995
64814,saab,Saab 9-3,4000.0,254 399 km,manual,2 290 cm3,Benzyna,Piaseczno,Mazowieckie,1999
64815,saab,Saab 900 Cabriolet 2.3 SE,19900.0,254 399 km,manual,2 290 cm3,Benzyna,Sochaczew,Mazowieckie,1999
64816,saab,Saab 9-3 SE 2.0LPT,8999.0,190 000 km,manual,2 290 cm3,Benzyna,Chełmno,Kujawsko-pomorskie,1995
64817,saab,Saab 9-3 SE 2.0i,5800.0,190 000 km,manual,2 290 cm3,Benzyna,Legionowo,Mazowieckie,1995
64818,saab,Saab 900 2.0 SE Turbo,11900.0,238 954 km,manual,2 290 cm3,Benzyna,Chełm,Lubelskie,1999
64819,saab,Saab 9-5,7500.0,238 954 km,manual,2 290 cm3,Benzyna,Lutynia,Dolnośląskie,1999
64820,saab,Saab 9-5 2.0 TTiD PF Vector,24999.0,212 000 km,manual,1 956 cm3,Diesel,Gniezno,Wielkopolskie,2012
64821,saab,Saab 9-3,31250.0,212 000 km,manual,1 956 cm3,Diesel,Katowice,Śląskie,2012
64822,saab,Saab 9-3,24700.0,165 000 km,manual,1 998 cm3,Benzyna,Puławy,Lubelskie,2010
64823,saab,Saab 9-5 2.0TiD Vector,36900.0,165 000 km,manual,1 998 cm3,Benzyna,Ponikiew Duża,Mazowieckie,2010
64824,saab,Saab 9-3 2.0T Aero XWD,27900.0,258 722 km,manual,1 910 cm3,Diesel,Konstancin-Jeziorna,Mazowieckie,2010
64825,saab,Saab 9-3 1.9 TiD Sport Kombi DPF Vector,15999.0,258 722 km,manual,1 910 cm3,Diesel,Podwarpie,Śląskie,2010
64826,saab,Saab 9-3 2.0T Vector BioPower,10900.0,267 000 km,manual,1 956 cm3,Diesel,Starogard Gdański,Pomorskie,2010
64827,saab,Saab 9-3,9500.0,267 000 km,manual,1 956 cm3,Diesel,Gdańsk,Pomorskie,2010
64828,saab,Saab 9-3 1.8i Linear,24900.0,287 000 km,manual,1 998 cm3,Benzyna,Koluszki,Łódzkie,2011
64829,saab,Saab 9-5 2.0 TiD PF Vector,32900.0,287 000 km,manual,1 998 cm3,Benzyna,Koluszki,Łódzkie,2011
64830,saab,Saab 9-3X 1.9TTiD PF,34500.0,228 614 km,manual,1 910 cm3,Diesel,Dąbrowa Górnicza,Śląskie,2010
64831,saab,Saab 9-3 1.9TTiD PF Vector Euro5,27999.0,228 614 km,manual,1 910 cm3,Diesel,Warszawa,Mazowieckie,2010
64832,saab,Saab 9-3,10000.0,402 000 km,manual,1 998 cm3,Benzyna,Wrocław,Dolnośląskie,2010
64833,saab,Saab 9-3X 1.9TTiD PF FWD,31500.0,402 000 km,manual,1 998 cm3,Benzyna,Kraków,Małopolskie,2010
64834,saab,Saab 9-5 2.0 TTiD PF Aero,45000.0,333 920 km,manual,1 910 cm3,Diesel,Żary,Lubuskie,2010
64835,saab,Saab 9-3,27900.0,333 920 km,manual,1 910 cm3,Diesel,Częstochowa,Śląskie,2010
64836,saab,Saab 9-3,16500.0,220 000 km,manual,1 796 cm3,Benzyna,Okulice,Małopolskie,2010
64837,saab,Saab 9-5 2.0 TiD PF Linear,36999.0,220 000 km,manual,1 796 cm3,Benzyna,Warszawa,Mazowieckie,2010
