,brand,model,price_in_pln,mileage,gearbox,engine_capacity,fuel_type,city,voivodeship,year
68328,smart,Smart Forfour passion,9900.0,247 000 km,manual,1 332 cm3,Benzyna,Lidzbark Warmiński,Warmińsko-mazurskie,2004
68329,smart,Smart Forfour,10900.0,247 000 km,manual,1 332 cm3,Benzyna,Konstantynów Łódzki,Łódzkie,2004
68330,smart,Smart Forfour passion,9900.0,225 000 km,manual,1 332 cm3,Benzyna,Grudziądz,Kujawsko-pomorskie,2004
68331,smart,Smart Forfour pulse,8000.0,225 000 km,manual,1 332 cm3,Benzyna,Chybie,Śląskie,2004
68332,smart,Smart Fortwo & pure,9717.0,170 300 km,manual,1 499 cm3,Benzyna,Kartuzy,Pomorskie,2004
68333,smart,Smart Forfour pulse,8100.0,170 300 km,manual,1 499 cm3,Benzyna,Dębno,Zachodniopomorskie,2004
68334,smart,Smart Fortwo & pure,5999.0,204 000 km,manual,1 124 cm3,Benzyna,Warszawa,Mazowieckie,2004
68335,smart,Smart Forfour,7990.0,204 000 km,manual,1 124 cm3,Benzyna,Paniówki,Śląskie,2004
68336,smart,Smart Forfour passion,10400.0,172 000 km,manual,599 cm3,Benzyna,Jarosław,Podkarpackie,2003
68337,smart,Smart Forfour passion,11400.0,172 000 km,manual,599 cm3,Benzyna,Wojkowice,Śląskie,2003
68338,smart,Smart Roadster Standard,21900.0,193 377 km,manual,1 124 cm3,Benzyna,Gostyń,Wielkopolskie,2004
68339,smart,Smart Forfour passion cdi,6900.0,193 377 km,manual,1 124 cm3,Benzyna,Budzyń,Wielkopolskie,2004
68340,smart,Smart Forfour,5000.0,149 000 km,manual,599 cm3,Benzyna,Poznań,Wielkopolskie,2003
68341,smart,Smart Forfour passion,9900.0,149 000 km,manual,599 cm3,Benzyna,Chojnice,Pomorskie,2003
68342,smart,Smart Fortwo,4900.0,226 035 km,manual,1 124 cm3,Benzyna,Chojnice,Pomorskie,2004
68343,smart,Smart Forfour pulse,7200.0,226 035 km,manual,1 124 cm3,Benzyna,Głuszyca,Dolnośląskie,2004
68344,smart,Smart Forfour passion,9990.0,185 000 km,manual,1 124 cm3,Benzyna,Buczek,Łódzkie,2004
68345,smart,Smart Forfour pulse,6750.0,185 000 km,manual,1 124 cm3,Benzyna,Gryfice,Zachodniopomorskie,2004
68346,smart,Smart Forfour passion,7500.0,17 800 km,manual,1 332 cm3,Benzyna,Szczecin,Zachodniopomorskie,2004
68347,smart,Smart Forfour passion,5600.0,17 800 km,manual,1 332 cm3,Benzyna,Pleszew,Wielkopolskie,2004
68348,smart,Smart Forfour pulse,6700.0,150 000 km,manual,698 cm3,Benzyna,Chojnice,Pomorskie,2004
68349,smart,Smart Forfour passion,9900.0,247 000 km,manual,1 332 cm3,Benzyna,Lidzbark Warmiński,Warmińsko-mazurskie,2004
68350,smart,Smart Forfour,10900.0,247 000 km,manual,1 332 cm3,Benzyna,Konstantynów Łódzki,Łódzkie,2004
68351,smart,Smart Forfour passion,9900.0,225 000 km,manual,1 332 cm3,Benzyna,Grudziądz,Kujawsko-pomorskie,2004
68352,smart,Smart Forfour pulse,8000.0,225 000 km,manual,1 332 cm3,Benzyna,Chybie,Śląskie,2004
68353,smart,Smart Fortwo & pure,9717.0,170 300 km,manual,1 499 cm3,Benzyna,Kartuzy,Pomorskie,2004
68354,smart,Smart Forfour pulse,8100.0,170 300 km,manual,1 499 cm3,Benzyna,Dębno,Zachodniopomorskie,2004
68355,smart,Smart Fortwo & pure,5999.0,204 000 km,manual,1 124 cm3,Benzyna,Warszawa,Mazowieckie,2004
68356,smart,Smart Forfour,7990.0,204 000 km,manual,1 124 cm3,Benzyna,Paniówki,Śląskie,2004
68357,smart,Smart Forfour passion,10400.0,172 000 km,manual,599 cm3,Benzyna,Jarosław,Podkarpackie,2003
68358,smart,Smart Forfour passion,11400.0,172 000 km,manual,599 cm3,Benzyna,Wojkowice,Śląskie,2003
68359,smart,Smart Roadster Standard,21900.0,193 377 km,manual,1 124 cm3,Benzyna,Gostyń,Wielkopolskie,2004
68360,smart,Smart Forfour passion cdi,6900.0,193 377 km,manual,1 124 cm3,Benzyna,Budzyń,Wielkopolskie,2004
68361,smart,Smart Forfour,5000.0,149 000 km,manual,599 cm3,Benzyna,Poznań,Wielkopolskie,2003
68362,smart,Smart Forfour passion,9900.0,149 000 km,manual,599 cm3,Benzyna,Chojnice,Pomorskie,2003
