,brand,model,price_in_pln,mileage,gearbox,engine_capacity,fuel_type,city,voivodeship,year
86176,volvo,Volvo V70,6350.0,217 000 km,manual,1 984 cm3,Benzyna,Gubin,Lubuskie,1997
86177,volvo,Volvo 850 2.0 20v,7600.0,217 000 km,manual,1 984 cm3,Benzyna,Lublin,Lubelskie,1997
86178,volvo,Volvo C70 2.0,13999.0,260 000 km,manual,1 984 cm3,Benzyna+LPG,Białystok,Podlaskie,1995
86179,volvo,Volvo S40 2.0,6150.0,260 000 km,manual,1 984 cm3,Benzyna+LPG,Grabówka,Podlaskie,1995
86180,volvo,Volvo 850 2.5 GLE,14500.0,276 000 km,manual,1 984 cm3,Benzyna,Orzelec,Lubuskie,1999
86181,volvo,Volvo V40 2.0,3399.0,276 000 km,manual,1 984 cm3,Benzyna,Nasielsk,Mazowieckie,1999
86182,volvo,Volvo 850 Estate 2.5TDi,8900.0,310 000 km,manual,1 948 cm3,Benzyna+LPG,Kalisz,Wielkopolskie,1997
86183,volvo,Volvo S40 1.6,3500.0,310 000 km,manual,1 948 cm3,Benzyna+LPG,Szczecin,Zachodniopomorskie,1997
86184,volvo,Volvo C70,13900.0,151 000 km,manual,2 435 cm3,Benzyna,Kowala,Mazowieckie,1995
86185,volvo,Volvo V40 2.0,3950.0,151 000 km,manual,2 435 cm3,Benzyna,Pniewy,Wielkopolskie,1995
86186,volvo,Volvo V70 2.5,8880.0,399 000 km,manual,1 948 cm3,Benzyna+LPG,Grodzisk Mazowiecki,Mazowieckie,1996
86187,volvo,Volvo S70 2.5,8900.0,399 000 km,manual,1 948 cm3,Benzyna+LPG,Wiśniewo,Mazowieckie,1996
86188,volvo,Volvo S80 2.5TDI,16800.0,333 000 km,manual,2 461 cm3,Diesel,Biała Podlaska,Lubelskie,1996
86189,volvo,Volvo V70,7900.0,333 000 km,manual,2 461 cm3,Diesel,Przeźmierowo,Wielkopolskie,1996
86190,volvo,Volvo V70 2.5TDI,7000.0,247 000 km,manual,1 588 cm3,Benzyna+LPG,Milanówek,Mazowieckie,1999
86191,volvo,Volvo 850 2.5,13950.0,247 000 km,manual,1 588 cm3,Benzyna+LPG,Zawiercie,Śląskie,1999
86192,volvo,Volvo 850,2400.0,260 000 km,manual,2 400 cm3,Benzyna,Chwaszczyno,Pomorskie,1999
86193,volvo,Volvo S70,12900.0,260 000 km,manual,2 400 cm3,Benzyna,Stargard Szczeciński,Zachodniopomorskie,1999
86194,volvo,Volvo 850 Estate 2.0-10v,6900.0,220 000 km,manual,1 948 cm3,Benzyna,Czeczewo,Pomorskie,1997
86195,volvo,Volvo V70 2.4 T,15900.0,220 000 km,manual,1 948 cm3,Benzyna,Oleśnica,Dolnośląskie,1997
86196,volvo,Volvo V70 2.0,3500.0,553 000 km,manual,2 435 cm3,Benzyna+LPG,Warszawa,Mazowieckie,1999
86197,volvo,Volvo S40,2500.0,553 000 km,manual,2 435 cm3,Benzyna+LPG,Warszawa,Mazowieckie,1999
86198,volvo,Volvo 850 2.5-10v,12500.0,239 000 km,manual,2 435 cm3,Benzyna,Tęgoborze,Małopolskie,1998
86199,volvo,Volvo 850 Estate 2.0 T-5,16500.0,239 000 km,manual,2 435 cm3,Benzyna,Rzeszów,Podkarpackie,1998
86200,volvo,Volvo V70 2.5TDI,24000.0,309 000 km,manual,2 461 cm3,Diesel,Świdnica,Dolnośląskie,1999
86201,volvo,Volvo V40 1.8,3450.0,309 000 km,manual,2 461 cm3,Diesel,Syców,Dolnośląskie,1999
86202,volvo,Volvo V70,6350.0,217 000 km,manual,1 984 cm3,Benzyna,Gubin,Lubuskie,1997
86203,volvo,Volvo 850 2.0 20v,7600.0,217 000 km,manual,1 984 cm3,Benzyna,Lublin,Lubelskie,1997
86204,volvo,Volvo C70 2.0,13999.0,260 000 km,manual,1 984 cm3,Benzyna+LPG,Białystok,Podlaskie,1995
86205,volvo,Volvo S40 2.0,6150.0,260 000 km,manual,1 984 cm3,Benzyna+LPG,Grabówka,Podlaskie,1995
86206,volvo,Volvo 850 2.5 GLE,14500.0,276 000 km,manual,1 984 cm3,Benzyna,Orzelec,Lubuskie,1999
86207,volvo,Volvo V40 2.0,3399.0,276 000 km,manual,1 984 cm3,Benzyna,Nasielsk,Mazowieckie,1999
86208,volvo,Volvo 850 Estate 2.5TDi,8900.0,310 000 km,manual,1 948 cm3,Benzyna+LPG,Kalisz,Wielkopolskie,1997
86209,volvo,Volvo S40 1.6,3500.0,310 000 km,manual,1 948 cm3,Benzyna+LPG,Szczecin,Zachodniopomorskie,1997
86210,volvo,Volvo C70,13900.0,151 000 km,manual,2 435 cm3,Benzyna,Kowala,Mazowieckie,1995
86211,volvo,Volvo V40 2.0,3950.0,151 000 km,manual,2 435 cm3,Benzyna,Pniewy,Wielkopolskie,1995
86212,volvo,Volvo V70 2.5,8880.0,399 000 km,manual,1 948 cm3,Benzyna+LPG,Grodzisk Mazowiecki,Mazowieckie,1996
86213,volvo,Volvo S70 2.5,8900.0,399 000 km,manual,1 948 cm3,Benzyna+LPG,Wiśniewo,Mazowieckie,1996
86214,volvo,Volvo S80 2.5TDI,16800.0,333 000 km,manual,2 461 cm3,Diesel,Biała Podlaska,Lubelskie,1996
86215,volvo,Volvo V70,7900.0,333 000 km,manual,2 461 cm3,Diesel,Przeźmierowo,Wielkopolskie,1996
86216,volvo,Volvo V70 2.5TDI,7000.0,247 000 km,manual,1 588 cm3,Benzyna+LPG,Milanówek,Mazowieckie,1999
86217,volvo,Volvo 850 2.5,13950.0,247 000 km,manual,1 588 cm3,Benzyna+LPG,Zawiercie,Śląskie,1999
86218,volvo,Volvo 850,2400.0,260 000 km,manual,2 400 cm3,Benzyna,Chwaszczyno,Pomorskie,1999
86219,volvo,Volvo S70,12900.0,260 000 km,manual,2 400 cm3,Benzyna,Stargard Szczeciński,Zachodniopomorskie,1999
86220,volvo,Volvo 850 Estate 2.0-10v,6900.0,220 000 km,manual,1 948 cm3,Benzyna,Czeczewo,Pomorskie,1997
86221,volvo,Volvo V70 2.4 T,15900.0,220 000 km,manual,1 948 cm3,Benzyna,Oleśnica,Dolnośląskie,1997
86222,volvo,Volvo V70 2.0,3500.0,553 000 km,manual,2 435 cm3,Benzyna+LPG,Warszawa,Mazowieckie,1999
86223,volvo,Volvo S40,2500.0,553 000 km,manual,2 435 cm3,Benzyna+LPG,Warszawa,Mazowieckie,1999
86224,volvo,Volvo 850 2.5-10v,12500.0,239 000 km,manual,2 435 cm3,Benzyna,Tęgoborze,Małopolskie,1998
86225,volvo,Volvo 850 Estate 2.0 T-5,16500.0,239 000 km,manual,2 435 cm3,Benzyna,Rzeszów,Podkarpackie,1998
86226,volvo,Volvo V70 2.5TDI,24000.0,309 000 km,manual,2 461 cm3,Diesel,Świdnica,Dolnośląskie,1999
86227,volvo,Volvo V40 1.8,3450.0,309 000 km,manual,2 461 cm3,Diesel,Syców,Dolnośląskie,1999
86292,volvo,Volvo V70,6350.0,217 000 km,manual,1 984 cm3,Benzyna,Gubin,Lubuskie,1997
86293,volvo,Volvo 850 2.0 20v,7600.0,217 000 km,manual,1 984 cm3,Benzyna,Lublin,Lubelskie,1997
86294,volvo,Volvo C70 2.0,13999.0,260 000 km,manual,1 984 cm3,Benzyna+LPG,Białystok,Podlaskie,1995
86295,volvo,Volvo S40 2.0,6150.0,260 000 km,manual,1 984 cm3,Benzyna+LPG,Grabówka,Podlaskie,1995
86296,volvo,Volvo 850 2.5 GLE,14500.0,276 000 km,manual,1 984 cm3,Benzyna,Orzelec,Lubuskie,1999
86297,volvo,Volvo V40 2.0,3399.0,276 000 km,manual,1 984 cm3,Benzyna,Nasielsk,Mazowieckie,1999
86298,volvo,Volvo 850 Estate 2.5TDi,8900.0,310 000 km,manual,1 948 cm3,Benzyna+LPG,Kalisz,Wielkopolskie,1997
86299,volvo,Volvo S40 1.6,3500.0,310 000 km,manual,1 948 cm3,Benzyna+LPG,Szczecin,Zachodniopomorskie,1997
86300,volvo,Volvo C70,13900.0,151 000 km,manual,2 435 cm3,Benzyna,Kowala,Mazowieckie,1995
86301,volvo,Volvo V40 2.0,3950.0,151 000 km,manual,2 435 cm3,Benzyna,Pniewy,Wielkopolskie,1995
86302,volvo,Volvo V70 2.5,8880.0,399 000 km,manual,1 948 cm3,Benzyna+LPG,Grodzisk Mazowiecki,Mazowieckie,1996
86303,volvo,Volvo S70 2.5,8900.0,399 000 km,manual,1 948 cm3,Benzyna+LPG,Wiśniewo,Mazowieckie,1996
86304,volvo,Volvo S80 2.5TDI,16800.0,333 000 km,manual,2 461 cm3,Diesel,Biała Podlaska,Lubelskie,1996
